"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","pn","section","semester","status","term","type","year"
"0000015484","1.0","0000001494","AMST","4","0","1","1","2","","Staff","{'fsnum': '', 'name': 'Staff'}","200","6","Durham Connection","250","False","","2","C","19942","Research","1994"
"0000015485","1.0","0000000012","AMST","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Urban Culture Comp","298","False","","2","O","19942","Research","1994"
"0000015486","1.0","0000000018","ART","20","17","0","2","1","ALS-A","Staff","{'fsnum': '', 'name': 'Staff'}","100","17","Found Perc/Conc Draw","110","False","","2","C","19942","Research","1994"
"0000015487","1.0","0000000040","ART","12","1","3","3","5","","Staff","{'fsnum': '', 'name': 'Staff'}","200","13","Comp-Generatd Imagery","238","False","","2","C","19942","Research","1994"
"0000015488","1.0","0000000044","ART","12","3","4","2","3","","Staff","{'fsnum': '', 'name': 'Staff'}","200","20","Advanced Drawing","243","False","","2","O","19942","Research","1994"
"0000015489","1.0","0000000054","ART","16","0","3","1","12","","Staff","{'fsnum': '', 'name': 'Staff'}","200","15","Italian Renaissance","255","False","","2","C","19942","Research","1994"
"0000015490","1.0","0000000048","ART","10","1","4","2","3","","Staff","{'fsnum': '', 'name': 'Staff'}","200","15","Pratt-Manhattan","262","False","","2","C","19942","Research","1994"
"0000015491","1.0","0000000060","ART","18","0","6","4","8","","Staff","{'fsnum': '', 'name': 'Staff'}","200","48","Medieval","263","False","","2","O","19942","Research","1994"
"0000015492","1.0","0000000068","ART","2","0","1","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015493","1.0","0000000069","ART","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Adv Oil Painting","298","False","","2","O","19942","Research","1994"
"0000015494","1.0","0000000069","ART","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Interim Architect","298","False","A","2","O","19942","Research","1994"
"0000015495","1.0","0000000069","ART","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Adv Archit Drawing","298","False","B","2","O","19942","Research","1994"
"0000015496","1.0","0000000075","ART","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/Paper Vessels","398","False","","2","O","19942","Research","1994"
"0000015497","1.0","0000001519","ASIAN","18","10","1","4","3","ALS-L;MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Contem China-Lit-Tr","123","False","","2","O","19942","Research","1994"
"0000015498","1.0","0000001518","ASIAN","25","9","3","1","12","","Staff","{'fsnum': '', 'name': 'Staff'}","100","22","The Art of the Brush","125","False","","2","C","19942","Research","1994"
"0000015499","1.0","0000001520","ASIAN","19","5","3","8","3","ALS-L;MCS-D","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Chinese Amer Renaiss","126","False","","2","O","19942","Research","1994"
"0000015500","1.0","0000000104","BIO","25","12","4","2","7","NSC","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","The Biology of Women","124","False","","2","C","19942","Research","1994"
"0000015501","1.0","0000000110","BIO","18","15","0","2","1","NSC","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Genetics/Evolut/Soc","127","False","","2","O","19942","Research","1994"
"0000015502","1.0","0000001530","BIO","33","26","0","1","6","NSC","Staff","{'fsnum': '', 'name': 'Staff'}","100","28","Cancer Biology","131","False","","2","C","19942","Research","1994"
"0000015503","1.0","0000001531","BIO","11","7","2","1","1","NSC","Staff","{'fsnum': '', 'name': 'Staff'}","100","38","Issues Biotechnology","132","False","","2","O","19942","Research","1994"
"0000015504","1.0","0000000113","BIO","17","7","4","2","4","NSC","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Aids in Perspective","133","False","","2","O","19942","Research","1994"
"0000015505","1.0","0000000146","BIO","18","0","6","0","12","","Staff","{'fsnum': '', 'name': 'Staff'}","200","16","Winter Ecology","281","False","","2","C","19942","Research","1994"
"0000015506","1.0","0000001543","BIO","12","0","5","0","7","","Staff","{'fsnum': '', 'name': 'Staff'}","200","12","Tropical Ecology","284","False","","2","C","19942","Research","1994"
"0000015507","1.0","0000000149","BIO","19","0","8","3","8","","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","Water Resource Mgmt","285","False","","2","O","19942","Research","1994"
"0000015508","1.0","0000000150","BIO","12","0","4","3","5","","Staff","{'fsnum': '', 'name': 'Staff'}","200","12","Island Bio in Bahamas","287","False","","2","C","19942","Research","1994"
"0000015509","1.0","0000000153","BIO","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015510","1.0","0000000153","BIO","1","0","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","A","2","O","19942","Research","1994"
"0000015511","1.0","0000000153","BIO","2","0","1","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","B","2","O","19942","Research","1994"
"0000015512","1.0","0000000153","BIO","6","0","5","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","C","2","O","19942","Research","1994"
"0000015513","1.0","0000000153","BIO","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","D","2","O","19942","Research","1994"
"0000015514","1.0","0000000154","BIO","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Macrophages","298","False","","2","O","19942","Research","1994"
"0000015515","1.0","0000000154","BIO","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/DNA Sequencing","298","False","A","2","O","19942","Research","1994"
"0000015516","1.0","0000000154","BIO","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Baja California","298","False","B","2","O","19942","Research","1994"
"0000015517","1.0","0000000174","BIO","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","","2","O","19942","Research","1994"
"0000015518","1.0","0000000174","BIO","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","A","2","O","19942","Research","1994"
"0000015519","1.0","0000000175","BIO","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/Molecular Immunolo","398","False","","2","O","19942","Research","1994"
"0000015520","1.0","0000000175","BIO","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/Hypertension","398","False","A","2","O","19942","Research","1994"
"0000015521","1.0","0000000175","BIO","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/Novel Genetics Int","398","False","B","2","O","19942","Research","1994"
"0000015522","1.0","0000000185","CHEM","24","23","1","0","0","NSC;NSL;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","100","26","Chem-Life's Beginning","120","False","","2","C","19942","Research","1994"
"0000015523","1.0","0000000189","CHEM","50","41","1","6","2","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Chemical Structure","123","False","","2","O","19942","Research","1994"
"0000015524","1.0","0000001552","CHEM","25","4","3","10","8","NSC;NSL","Staff","{'fsnum': '', 'name': 'Staff'}","100","28","Environmental Chem","124","False","","2","C","19942","Research","1994"
"0000015525","1.0","0000000198","CHEM","27","1","9","15","2","","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","Organometallic Chem","252","False","","2","O","19942","Research","1994"
"0000015526","1.0","0000000204","CHEM","1","0","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015527","1.0","0000000204","CHEM","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","A","2","O","19942","Research","1994"
"0000015528","1.0","0000000205","CHEM","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/IDeas Abt Science","298","False","","2","O","19942","Research","1994"
"0000015529","1.0","0000001556","CHEM","3","0","1","0","2","","Staff","{'fsnum': '', 'name': 'Staff'}","300","8","Surface Science","333","False","","2","O","19942","Research","1994"
"0000015530","1.0","0000000215","CHEM","8","0","2","1","5","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Organic Analys/Theory","380","False","","2","O","19942","Research","1994"
"0000015531","1.0","0000000222","CHEM","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","","2","O","19942","Research","1994"
"0000015532","1.0","0000000222","CHEM","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","A","2","O","19942","Research","1994"
"0000015533","1.0","0000000225","CLASS","17","10","1","2","4","ALS-L","Staff","{'fsnum': '', 'name': 'Staff'}","100","28","Ancient Comedy-Tr","126","False","","2","O","19942","Research","1994"
"0000015534","1.0","0000000232","CLASS","23","0","6","8","9","","Staff","{'fsnum': '', 'name': 'Staff'}","200","30","Class Studies Greece","251","False","","2","C","19942","Research","1994"
"0000015552","1.0","0000000299","CSCI","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015557","1.0","0000001646","DNCTH","22","4","5","8","5","","Staff","{'fsnum': '', 'name': 'Staff'}","100","20","Creative Dance/Child","120","False","","2","C","19942","Research","1994"
"0000015558","1.0","0000000367","DNCTH","22","14","4","2","2","ALS-A;MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","100","22","World Dance Tradit'ns","124","False","","2","C","19942","Research","1994"
"0000015559","1.0","0000001651","DNCTH","12","0","3","6","3","MCS-D;PHA","Staff","{'fsnum': '', 'name': 'Staff'}","200","11","Dance/Big Band (M)","251","False","A","2","C","19942","Research","1994"
"0000015560","1.0","0000001651","DNCTH","12","2","0","0","10","MCS-D;PHA","Staff","{'fsnum': '', 'name': 'Staff'}","200","11","Dance/Big Band (W)","251","False","B","2","C","19942","Research","1994"
"0000015535","1.0","0000000254","ECON","6","4","0","2","0","HBS;MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Econ Progress China","111","False","","2","O","19942","Research","1994"
"0000015536","1.0","0000000254","ECON","27","25","0","0","2","HBS;HWC;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Capitalism: Strugles","111","False","","2","C","19942","Research","1994"
"0000015537","1.0","0000001579","ECON","4","0","2","1","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","10","Survey Practice","228","False","","2","O","19942","Research","1994"
"0000015538","1.0","0000001580","ECON","11","0","3","2","6","","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","Arts Management","229","False","","2","O","19942","Research","1994"
"0000015539","1.0","0000001581","ECON","18","0","5","7","6","","Staff","{'fsnum': '', 'name': 'Staff'}","200","23","Computer Applications","230","False","","2","C","19942","Research","1994"
"0000015540","1.0","0000001582","ECON","32","1","5","4","22","","Staff","{'fsnum': '', 'name': 'Staff'}","200","38","Personal Finance","231","False","","2","O","19942","Research","1994"
"0000015541","1.0","0000001594","ECON","8","0","1","0","7","","Staff","{'fsnum': '', 'name': 'Staff'}","200","25","Hosp Health Care Mgnt","254","False","","2","O","19942","Research","1994"
"0000015542","1.0","0000001599","ECON","14","0","8","4","2","","Staff","{'fsnum': '', 'name': 'Staff'}","200","25","Japan: Economy/People","260","False","","2","C","19942","Research","1994"
"0000015543","1.0","0000000276","ECON","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015544","1.0","0000000276","ECON","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","A","2","O","19942","Research","1994"
"0000015545","1.0","0000000276","ECON","1","0","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","B","2","O","19942","Research","1994"
"0000015546","1.0","0000000276","ECON","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","C","2","O","19942","Research","1994"
"0000015547","1.0","0000000277","ECON","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/German-MN Business","298","False","","2","O","19942","Research","1994"
"0000015548","1.0","0000000277","ECON","1","0","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Business Start Up","298","False","A","2","O","19942","Research","1994"
"0000015549","1.0","0000000277","ECON","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Marketing Intern","298","False","B","2","O","19942","Research","1994"
"0000015550","1.0","0000000284","ECON","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","","2","O","19942","Research","1994"
"0000015551","1.0","0000000284","ECON","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","A","2","O","19942","Research","1994"
"0000015553","1.0","0000000310","EDUC","21","0","3","10","8","","Staff","{'fsnum': '', 'name': 'Staff'}","200","25","Perspectives On Tchg","260","True","","2","C","19942","Research","1994"
"0000015554","1.0","0000000338","EDUC","22","0","5","5","12","","Staff","{'fsnum': '', 'name': 'Staff'}","300","20","Edu Cross-Cult Hawaii","378","True","","2","C","19942","Research","1994"
"0000015555","1.0","0000000339","EDUC","9","0","5","1","3","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Urban Alternative Ed","379","True","","2","C","19942","Research","1994"
"0000015556","1.0","0000000344","EDUC","4","0","0","0","4","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","","2","O","19942","Research","1994"
"0000015561","1.0","0000000382","ENGL","25","22","0","2","1","ALS-L;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Hero/Trickstr 3rd Wld","108","False","","2","C","19942","Research","1994"
"0000015562","1.0","0000001663","ENGL","26","22","2","0","2","ALS-L;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Amer Short Stories","114","False","","2","C","19942","Research","1994"
"0000015563","1.0","0000000390","ENGL","24","19","0","2","3","ALS-L;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Mysteries","169","False","","2","C","19942","Research","1994"
"0000015564","1.0","0000001678","ENGL","15","8","2","2","3","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Drama","182","False","","2","O","19942","Research","1994"
"0000015565","1.0","0000001694","ENGL","16","2","1","4","9","","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","Novels of Terror","239","False","","2","O","19942","Research","1994"
"0000015566","1.0","0000000415","ENGL","29","0","10","12","7","","Staff","{'fsnum': '', 'name': 'Staff'}","200","30","The Moral Vision","253","False","","2","C","19942","Research","1994"
"0000015567","1.0","0000001702","ENGL","16","2","3","4","7","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","16","Writing in Many Genre","264","False","","2","C","19942","Research","1994"
"0000015568","1.0","0000001703","ENGL","16","4","0","9","3","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","16","The Emerging Poet","265","False","","2","C","19942","Research","1994"
"0000015569","1.0","0000000421","ENGL","15","0","9","3","3","","Staff","{'fsnum': '', 'name': 'Staff'}","200","15","Lit Eastern Caribbean","270","False","","2","C","19942","Research","1994"
"0000015570","1.0","0000000429","ENGL","24","1","5","13","5","WRI","Hill, Jan C.","{'fsnum': '109', 'name': 'Hill, Jan C.'}","200","28","Studies/Prose: Fic & Reg","283","False","","2","O","19942","Research","1994"
"0000015571","1.0","0000000433","ENGL","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015572","1.0","0000001719","ENGL","1","0","0","0","1","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","300","15","Shakespeare/Chicago","370","False","","2","C","19942","Research","1994"
"0000015573","1.0","0000000449","ENGL","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","","2","O","19942","Research","1994"
"0000015574","1.0","0000000449","ENGL","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","A","2","O","19942","Research","1994"
"0000015575","1.0","0000000451","ENGL","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/Shaw and Nietzsche","398","False","","2","O","19942","Research","1994"
"0000015576","1.0","0000000451","ENGL","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/A Wilson-Plays & P","398","False","A","2","O","19942","Research","1994"
