"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","number","pn","section","semester","status","term","type","year"
"0000016603","1.0","0000000073","ART","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","Internship","394","True","","4","O","19944","Research","1994"
"0000016604","1.0","0000000153","BIO","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Internship","294","True","","4","O","19944","Research","1994"
"0000016605","1.0","0000000153","BIO","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Internship","294","True","A","4","O","19944","Research","1994"
"0000016606","1.0","0000000175","BIO","1","0","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","IR/Nitrogen Fixation","398","False","","4","O","19944","Research","1994"
"0000016607","1.0","0000000187","CHEM","1","0","0","0","1","NSC;NSL","Staff","{'fsnum': '', 'name': 'Staff'}","100","General Chemistry","121","False","","4","O","19944","Research","1994"
"0000016608","1.0","0000000196","CHEM","17","1","3","9","4","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Organic Chemistry","247","False","","4","O","19944","Research","1994"
"0000016609","0.25","0000000199","CHEM","15","1","3","8","3","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Synthesis Lab","253","True","","4","O","19944","Lab","1994"
"0000016614","1.0","0000001612","CSCI","5","0","2","2","1","","Staff","{'fsnum': '', 'name': 'Staff'}","100","Principles Comp Sci","172","False","","4","O","19944","Research","1994"
"0000016610","1.0","0000000259","ECON","1","0","0","0","1","HBS","Staff","{'fsnum': '', 'name': 'Staff'}","100","Principles of Econ","121","False","","4","O","19944","Research","1994"
"0000016611","1.0","0000000272","ECON","6","1","4","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Urban Economics","249","False","","4","O","19944","Research","1994"
"0000016612","1.0","0000000276","ECON","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Internship","294","True","","4","O","19944","Research","1994"
"0000016613","1.0","0000000277","ECON","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","IS/Mging Financial In","298","False","","4","O","19944","Research","1994"
"0000016615","1.0","0000000311","EDUC","6","0","1","4","1","HBS","Staff","{'fsnum': '', 'name': 'Staff'}","200","Educ Psychology","290","False","","4","O","19944","Research","1994"
"0000016616","1.0","0000000313","EDUC","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Internship","294","True","","4","O","19944","Research","1994"
"0000016617","1.0","0000000321","EDUC","6","0","2","1","3","","Staff","{'fsnum': '', 'name': 'Staff'}","300","Prin Secondary Educ","330","False","","4","O","19944","Research","1994"
"0000016618","0.5","0000000340","EDUC","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","Senior Seminar Educ","381","False","","4","C","19944","Research","1994"
"0000016619","1.0","0000001693","ENGL","8","0","7","1","0","ALS-L;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Modern British Lit","237","False","","4","O","19944","Research","1994"
"0000016620","1.0","0000001707","ENGL","4","1","1","1","1","ALS-L;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","On the Road","271","False","","4","O","19944","Research","1994"
"0000016621","1.0","0000000426","ENGL","1","0","1","0","0","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Intro to Shakespeare","280","False","","4","O","19944","Research","1994"
"0000016622","1.0","0000000444","ENGL","5","0","5","0","0","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","300","Shakespeare","380","False","","4","O","19944","Research","1994"
"0000016623","1.0","0000000451","ENGL","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","IR/Postmodern Fiction","398","False","","4","O","19944","Research","1994"
"0000016629","1.0","0000000649","FAMST","3","1","0","1","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Family Relationships","242","False","","4","O","19944","Research","1994"
"0000016630","1.0","0000000651","FAMST","7","0","2","4","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","Human Sexuality","253","False","","4","O","19944","Research","1994"
