"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","pn","section","semester","status","term","type","year"
"0000016670","1.0","0000000102","BIO","16","8","1","2","5","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","","","","","Human Biology","123","False","","5","C","19945","Research","1994"
"0000016671","1.0","0000000106","BIO","7","3","0","3","1","NSC;NSL","Staff","{'fsnum': '', 'name': 'Staff'}","100","","","","","","Cellular Bio & Genetics","125","False","","5","O","19945","Research","1994"
"0000016672","","0000000107","BIO","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","","","","","Cellular Bio & Gene/Lab","125","False","","5","O","19945","Lab","1994"
"0000016673","1.0","0000000154","BIO","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","IS/Plant Physiology","298","False","","5","O","19945","Research","1994"
"0000016674","1.0","0000000197","CHEM","17","1","5","9","2","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Organic Chemistry","248","False","","5","O","19945","Research","1994"
"0000016675","0.25","0000000200","CHEM","14","1","4","8","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Synthesis Lab","254","True","","5","O","19945","Lab","1994"
"0000016676","1.0","0000000276","ECON","2","0","2","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Internship","294","True","","5","O","19945","Research","1994"
"0000016677","1.0","0000000313","EDUC","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Internship","294","True","","5","O","19945","Research","1994"
"0000016678","1.0","0000000314","EDUC","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","IS/Exceptional Childr","298","False","","5","O","19945","Research","1994"
"0000016679","1.0","0000001698","ENGL","7","0","2","4","1","ALS-L;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Amer Lit Since 1945","244","False","","5","O","19945","Research","1994"
