"clbid","credits","crsid","department","enrolled","instructors","learningmode","level","max","name","number","pn","prerequisites","section","semester","status","term","type","year"
"0000017633","1.0","0000000015","AMST","1","Adrienne H. Daniels","S","300","999","IR/Tv Violence & Fmly","398","False","False","","2","O","19952","Research","1995"
"0000017634","1.0","0000000018","ART","20","Mary Griep","S","100","20","Foundation Drawing","110","False","False","","2","C","19952","Research","1995"
"0000017635","1.0","0000001496","ART","22","Ron Gallas","S","100","15","Foundation Ceramics","121","False","False","","2","C","19952","Research","1995"
"0000017636","1.0","0000000028","ART","19","John Saurer","S","100","18","Foundation Sculpture","122","False","False","","2","C","19952","Research","1995"
"0000017639","1.0","0000001502","ART","26","Matthew Rohn","S","200","60","Us Visions/IDentities","250","False","False","","2","O","19952","Research","1995"
"0000017640","1.0","0000000048","ART","9","Jan Shoger","S","200","15","Pratt-Manhattan","262","False","False","","2","C","19952","Research","1995"
"0000017641","1.0","0000001509","ART","23","James A. Dunlop;A. Malcolm Gimse","S","200","25","Art of France/Spain","268","False","False","","2","C","19952","Research","1995"
"0000017642","0.0","0000001509","ART","10","Staff","S","200","10","FLC-Spanish","268","False","False","L","2","O","19952","Research","1995"
"0000017643","1.0","0000000068","ART","1","Ron Gallas","S","200","999","Internship","294","True","False","","2","O","19952","Research","1995"
"0000017644","1.0","0000000068","ART","2","Matthew Rohn","S","200","999","Internship","294","True","False","A","2","O","19952","Research","1995"
"0000017645","1.0","0000000069","ART","1","Matthew Rohn","S","200","999","IS/Looking At Venturi","298","False","False","","2","O","19952","Research","1995"
"0000017646","1.0","0000000069","ART","1","Mary Griep","S","200","999","IS/Southwest Painting","298","False","False","A","2","O","19952","Research","1995"
"0000017647","1.0","0000000069","ART","1","Ron Gallas;John Saurer","S","200","999","IS/3d Oil Painting","298","False","False","B","2","O","19952","Research","1995"
"0000017648","1.0","0000000069","ART","1","Ron Gallas","S","200","999","IS/Advanced Ceramics","298","False","False","C","2","O","19952","Research","1995"
"0000017649","1.0","0000000069","ART","1","Ron Gallas","S","200","999","IS/Pottery","298","False","False","D","2","O","19952","Research","1995"
"0000017650","1.0","0000000069","ART","1","Kay E. Smith","S","200","999","IS/Evol Florentine R","298","False","False","E","2","O","19952","Research","1995"
"0000017651","1.0","0000000075","ART","1","Jil Evans","S","300","999","IR/Study in Drawing","398","False","False","","2","O","19952","Research","1995"
"0000017652","1.0","0000000079","ASIAN","31","Phyllis Hyland Larson","S","100","25","Intro Japanese Film","124","False","False","","2","C","19952","Research","1995"
"0000017654","1.0","0000000081","ASIAN","16","Pin Pin Wan","S","100","25","Cont Chin Women wr Tr","151","False","False","","2","O","19952","Research","1995"
"0000017655","1.0","0000000104","BIO","39","Lauri Sammartano","S","100","32","The Biology of Women","124","False","False","","2","C","19952","Research","1995"
"0000017656","1.0","0000000110","BIO","24","Alice Burton","S","100","25","Genetics/Evolut/Soc","127","False","False","","2","O","19952","Research","1995"
