"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","section","semester","status","term","type","year"
"0000020936","1.0","0000000153","BIO","1","0","0","1","0","","Walter, Anne","{'fsnum': '8876', 'name': 'Walter, Anne'}","200","","Academic Internship","294","","True","","4","O","19964","Research","1996"
"0000020937","1.0","0000000192","CHEM","9","3","0","1","5","NSC;NSL","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","100","","Struct Chem & Equilib","125","{'day': 'Mo', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'}","False","","4","O","19964","Research","1996"
"0000020938","","0000000193","CHEM","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Struct Chem & Equ/Lab","125","","False","","4","O","19964","Lab","1996"
"0000020939","1.0","0000000196","CHEM","9","1","1","4","3","","Spessard, Gary O.","{'fsnum': '7851', 'name': 'Spessard, Gary O.'}","200","","Organic Chemistry","247","{'day': 'Mo', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'}","False","","4","O","19964","Research","1996"
"0000020940","0.25","0000000199","CHEM","9","1","1","3","4","","Spessard, Gary O.","{'fsnum': '7851', 'name': 'Spessard, Gary O.'}","200","","Synthesis Lab","253","","True","","4","O","19964","Lab","1996"
"0000020941","0.25","0000001554","CHEM","1","0","0","0","1","","Hardgrove, George L.","{'fsnum': '3101', 'name': 'Hardgrove, George L.'}","200","1","Physical Lab","257","","True","","4","C","19964","Lab","1996"
"0000020942","1.0","0000000204","CHEM","1","1","0","0","0","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Academic Internship","294","","True","","4","O","19964","Research","1996"
"0000020943","1.0","0000000223","CHEM","1","0","0","1","0","","Miessler, Gary","{'fsnum': '5287', 'name': 'Miessler, Gary'}","300","","IR/Avanced Inorganic","398","","False","","4","O","19964","Research","1996"
"0000020944","1.0","0000000276","ECON","1","0","1","0","0","","Becker, Anthony","{'fsnum': '348', 'name': 'Becker, Anthony'}","200","","Academic Internship","294","","True","","4","O","19964","Research","1996"
"0000020945","1.0","0000000276","ECON","1","0","1","0","0","","Emery, Mary Ann","{'fsnum': '1746', 'name': 'Emery, Mary Ann'}","200","","Academic Internship","294","","True","A","4","O","19964","Research","1996"
"0000020946","1.0","0000000314","EDUC","2","0","1","0","1","","Schelske, Mark","{'fsnum': '7148', 'name': 'Schelske, Mark'}","200","","IS/Exceptional Child","298","","False","","4","O","19964","Research","1996"
"0000020947","1.0","0000000345","EDUC","1","0","0","0","1","","Schelske, Mark","{'fsnum': '7148', 'name': 'Schelske, Mark'}","300","","IR/Exceptional Child","398","","False","","4","O","19964","Research","1996"
"0000020948","1.0","0000000382","ENGL","1","0","0","1","0","ALS-L;MCS-G;WRI","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","100","","Hero/Trickstr 3rd Wld","108","{'day': 'Mo', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 520', 'start': '12:30'}","False","","4","O","19964","Research","1996"
"0000020949","1.0","0000001698","ENGL","4","1","0","2","1","ALS-L;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Amer Lit Since 1945","244","{'day': 'Mo', 'end': '09:30', 'location': 'L 520', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'L 520', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'L 520', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'L 520', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'L 520', 'start': '08:00'}","False","","4","O","19964","Research","1996"
