"clbid","credits","crsid","department","enrolled","firstyear","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000022168","1.0","0000000006","AMST","23","","","","Mark Allister","","S","200","25","Masculinity in Amer","206","{'day': 'Mo', 'end': '14:55', 'location': 'L 420', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'L 420', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'L 420', 'start': '14:00'}","False","False","","3","","","O","19973","Research","1997"
"0000022169","1.0","0000000013","AMST","21","","","","James Farrell","","S","300","20","Sem: Mall of America","301","{'day': 'Mo', 'end': '10:00', 'location': 'H 514', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'H 514', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'H 514', 'start': '09:05'}","False","False","","3","","","C","19973","Seminar","1997"
"0000022170","1.0","0000000018","ART","13","","","","Mary Griep","2/3","S","100","22","Foundation Drawing","110","{'day': 'Mo', 'end': '12:45', 'location': 'FH 42', 'start': '10:45'};{'day': 'We', 'end': '12:45', 'location': 'FH 42', 'start': '10:45'};{'day': 'Fr', 'end': '12:45', 'location': 'FH 42', 'start': '10:45'}","False","False","","3","6/2","1/9","O","19973","Research","1997"
"0000022171","0.5","0000000019","ART","16","","","","Jil Evans","2/3","S","100","22","Found Perceptual Draw","111","{'day': 'Tu', 'end': '16:30', 'location': 'FH 42', 'start': '15:05'};{'day': 'Th', 'end': '16:30', 'location': 'FH 42', 'start': '15:05'}","False","False","B","3","6/2","3/10","O","19973","Research","1997"
"0000022172","0.5","0000000020","ART","22","","","","Jil Evans","2/4","S","100","22","Found Conceptual Draw","112","{'day': 'Tu', 'end': '11:00', 'location': 'FH 42', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 42', 'start': '09:35'}","False","False","","3","5/2","9/9","C","19973","Research","1997"
"0000022173","0.5","0000000021","ART","28","","","","Wendell Arneson","4/4","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'}","False","False","A","3","7/2","5/10","C","19973","Research","1997"
"0000022174","0.5","0000000021","ART","25","","","","Wendell Arneson","2/4","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'}","False","False","B","3","6/2","6/8","C","19973","Research","1997"
"0000022175","0.5","0000000022","ART","15","","","","John Saurer","0/3","S","100","17","Foundation Sculpture","114","{'day': 'Tu', 'end': '16:30', 'location': 'FH 18', 'start': '15:00'};{'day': 'Th', 'end': '16:30', 'location': 'FH 18', 'start': '15:00'}","False","False","A","3","3/2","6/9","O","19973","Research","1997"
"0000022176","0.5","0000000022","ART","15","","","","John Saurer","0/3","S","100","17","Foundation Sculpture","114","{'day': 'Tu', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'}","False","False","B","3","7/2","4/7","O","19973","Research","1997"
"0000022177","0.5","0000000023","ART","19","","","","Margaret Ojala","2/5","S","100","20","Found Photography","115","{'day': 'Tu', 'end': '09:25', 'location': 'FH 2', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 2', 'start': '08:00'}","False","False","A","3","4/4","10/7","O","19973","Research","1997"
