"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","number","offerings","pn","section","semester","status","term","type","year"
"0000023097","1.0","0000001487","ARMS","1","1","0","0","0","","Hepburn, Joan","{'fsnum': '3322', 'name': 'Hepburn, Joan'}","200","IS/Mixed Race Lit","298","","False","","4","O","19974","Research","1997"
"0000023041","0.5","0000000069","ART","1","0","0","0","1","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","IS/Pysanky Design","298","","False","","4","O","19974","Research","1997"
"0000023042","1.0","0000000154","BIO","1","1","0","0","0","","Bakko, Eugene","{'fsnum': '325', 'name': 'Bakko, Eugene'}","200","IS/Warbler Migrations","298","","False","","4","O","19974","Research","1997"
"0000023043","1.0","0000000192","CHEM","4","0","2","1","1","NSC;NSL","Staff","{'fsnum': '', 'name': 'Staff'}","100","Struct Chem & Equilib","125","{'day': 'Mo', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023044","","0000000193","CHEM","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","Struct Chem & Equ/Lab","125","","False","","4","O","19974","Lab","1997"
"0000023045","1.0","0000000196","CHEM","4","0","1","2","1","","Spessard, Gary O.","{'fsnum': '7851', 'name': 'Spessard, Gary O.'}","200","Organic Chemistry","247","{'day': 'Mo', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023046","0.25","0000000199","CHEM","4","0","1","2","1","","Spessard, Gary O.","{'fsnum': '7851', 'name': 'Spessard, Gary O.'}","200","Synthesis Lab","253","","True","","4","O","19974","Lab","1997"
"0000023049","1.0","0000000300","CSCI","1","0","0","0","1","","Brown, Richard","{'fsnum': '806', 'name': 'Brown, Richard'}","200","IS/Math Computing C++","298","","False","","4","O","19974","Research","1997"
"0000023047","1.0","0000001583","ECON","4","0","0","3","1","HBS;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Enviro Policy/Regulat","232","","False","","4","O","19974","Research","1997"
"0000023048","1.0","0000000277","ECON","1","0","0","0","1","","","","200","IS/Adv Econometrics","298","","False","","4","O","19974","Research","1997"
"0000023050","1.0","0000001660","ENGL","1","0","0","0","1","FYW","Staff","{'fsnum': '', 'name': 'Staff'}","100","College English","111","","False","","4","O","19974","Research","1997"
"0000023051","1.0","0000000411","ENGL","8","1","2","2","3","ALS-L;MCS-G","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","200","Post-Colonial Lit","247","{'day': 'Mo', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 520', 'start': '12:30'}","False","","4","O","19974","Research","1997"
"0000023052","1.0","0000000413","ENGL","2","1","1","0","0","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Expository Writing","251","{'day': 'Mo', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 520', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023053","1.0","0000000418","ENGL","3","0","1","2","0","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Creative Writing I","257","","False","","4","O","19974","Research","1997"
"0000023054","1.0","0000000434","ENGL","1","0","0","0","1","","Holly, Carol","{'fsnum': '3424', 'name': 'Holly, Carol'}","200","IS/Writing-Wmns Life","298","","False","","4","O","19974","Research","1997"
"0000023055","1.0","0000000442","ENGL","3","0","1","0","2","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","300","Cr Writ II: Nonfiction","373","{'day': 'Mo', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 520', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023056","1.0","0000000451","ENGL","1","0","1","0","0","","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","300","IR/19 & 20 Cent Lit","398","","False","","4","O","19974","Research","1997"
"0000023057","1.0","0000001728","ENVST","6","2","3","0","1","NSC;NSL","Bakko, Eugene","{'fsnum': '325', 'name': 'Bakko, Eugene'}","100","Minn Natural History","150","","False","","4","O","19974","Research","1997"
"0000023058","1.0","0000001729","ENVST","9","6","1","1","1","NST","Staff","{'fsnum': '', 'name': 'Staff'}","200","Intro: Enviro Studies","237","","False","","4","O","19974","Research","1997"
"0000023059","1.0","0000000462","ENVST","4","2","0","0","2","HWC;ORC;WRI","Deason, Gary","{'fsnum': '1355', 'name': 'Deason, Gary'}","200","Saving Wild Places","259","","False","","4","O","19974","Research","1997"
