"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","semester","status","term","type","year"
"0000026948","1.0","0000000068","ART","1","0","1","0","0","","Edwins, Steven","{'fsnum': '1564', 'name': 'Edwins, Steven'}","200","","Academic Internship","294","","True","4","O","19994","Research","1999"
"0000026949","1.0","0000000172","BIO","1","0","0","0","1","","Bakko, Eugene","{'fsnum': '325', 'name': 'Bakko, Eugene'}","300","","Top: Museum Prep","391","","False","4","C","19994","Topic","1999"
"0000026950","1.0","0000000196","CHEM","25","4","4","12","5","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry","247","{'day': 'Mo', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'}","False","4","O","19994","Research","1999"
"0000026951","0.25","0000000199","CHEM","23","4","3","12","4","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","24","Synthesis Lab","253","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","4","O","19994","Lab","1999"
"0000026952","1.0","0000000259","ECON","7","0","1","2","4","HBS","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","100","","Principles of Econ","121","{'day': 'Mo', 'end': '09:30', 'location': 'H 403', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'H 403', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'H 403', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'H 403', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'H 403', 'start': '08:00'}","False","4","O","19994","Research","1999"
"0000026953","1.0","0000000272","ECON","3","0","1","1","1","","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","200","","Urban Economics","249","{'day': 'Mo', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'H 403', 'start': '10:00'}","False","4","O","19994","Research","1999"
"0000026954","1.0","0000000410","ENGL","4","1","3","0","0","ALS-L;MCS-D","Hepburn, Joan","{'fsnum': '3322', 'name': 'Hepburn, Joan'}","200","","Amer Racial/Multi Lit","245","{'day': 'Mo', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 420', 'start': '12:30'}","False","4","O","19994","Research","1999"
"0000026955","1.0","0000000411","ENGL","8","0","5","1","2","ALS-L;MCS-G","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","200","","Post-Colonial Lit","247","{'day': 'Mo', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 421', 'start': '10:00'}","False","4","O","19994","Research","1999"
"0000026956","1.0","0000000437","ENGL","3","1","1","1","0","","Hepburn, Joan","{'fsnum': '3322', 'name': 'Hepburn, Joan'}","300","","African Amer Wmn/Lit","345","{'day': 'Mo', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 420', 'start': '12:30'}","False","4","O","19994","Topic","1999"
"0000026957","1.0","0000000438","ENGL","5","2","2","0","1","","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","300","","Post-Col/3rd Wld Lit","347","{'day': 'Mo', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 421', 'start': '10:00'}","False","4","O","19994","Topic","1999"
