"clbid","credits","crsid","department","enrolled","firstyear","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000002608","1.0","0000000028","ART","21","16/15","John Saurer","1/0","S","100","20","Foundation Sculpture","122","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'}","False","False","","2","4/5","0/0","C","20012","Research","2001"
"0000002609","1.0","0000000040","ART","14","","Patrick T. Kelley","","S","200","15","Comp-Generatd Imagery","228","{'day': 'Mo', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'Tu', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'We', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'Th', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'Fr', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'}","False","False","","2","","","C","20012","Research","2001"
"0000002610","1.0","0000000044","ART","15","","Carol Padberg","","S","200","22","Advanced Drawing","233","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'}","False","False","","2","","","O","20012","Research","2001"
"0000002611","1.0","0000000048","ART","16","","Ron Gallas","","S","200","15","Manhattan Art Interim","246","","False","False","","2","","","C","20012","Research","2001"
"0000002612","1.0","0000000051","ART","36","","Randall Van Schepen","","S","200","40","Art 1880-1950","252","{'day': 'Mo', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'}","False","False","","2","","","C","20012","Research","2001"
"0000002613","1.0","0000000054","ART","15","","Nancy M. Thompson","","S","200","15","Ital Art in Context","255","","False","False","","2","","","C","20012","Research","2001"
"0000002615","1.0","0000000068","ART","1","","Jan Shoger","","S","200","999","Academic Internship","294","","True","False","","2","","","O","20012","Research","2001"
"0000002616","1.0","0000000069","ART","1","","Ron Gallas","","S","200","999","IS/Ceramics Ind Study","298","","False","False","","2","","","O","20012","Research","2001"
"0000002617","1.0","0000000069","ART","1","","John Saurer","","S","200","999","IS/Wood Sculpture","298","","False","False","A","2","","","O","20012","Research","2001"
"0000002618","1.0","0000000075","ART","1","","Wendell Arneson","","S","300","999","IR/Psych Painting","398","","False","False","","2","","","O","20012","Research","2001"
"0000002619","1.0","0000000075","ART","1","","Wendell Arneson","","S","300","999","IR/Adv Painting","398","","False","False","A","2","","","O","20012","Research","2001"
"0000002620","1.0","0000000080","ASIAN","16","5/15","Rika Ito","","S","100","20","Japanese Lang/Society","126","{'day': 'Mo', 'end': '15:00', 'location': 'M 30', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'M 30', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'M 30', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'M 30', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'M 30', 'start': '13:00'}","False","False","","2","","","O","20012","Research","2001"
"0000002621","1.0","0000000085","ASIAN","20","","Phyllis Hyland Larson","","S","200","20","Nat ID/China & Japan","212","","False","False","","2","","","C","20012","Research","2001"
"0000002622","1.0","0000000086","ASIAN","8","","Rika Ito","","S","200","10","Top: Japan Lang/Soc","226","{'day': 'Mo', 'end': '15:00', 'location': 'M 30', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'M 30', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'M 30', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'M 30', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'M 30', 'start': '13:00'}","False","False","","2","","","C","20012","Topic","2001"
"0000002623","1.0","0000000088","ASIAN","21","4/0","Anbin Shi","","S","200","30","Chinese Literature","236","{'day': 'Mo', 'end': '12:40', 'location': 'M 1', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'M 1', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'M 1', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'M 1', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'M 1', 'start': '10:40'}","False","False","","2","3/25","","O","20012","Research","2001"
"0000002624","1.0","0000000094","ASIAN","1","","Robert Entenmann","","S","200","999","IS/Economic Reform In","298","","False","False","","2","","","O","20012","Research","2001"
"0000002625","1.0","0000000104","BIO","32","6/5","Lauri Sammartano","9/6","S","100","28","The Biology of Women","124","{'day': 'Mo', 'end': '10:00', 'location': 'SC 129', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'SC 129', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'SC 129', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'SC 129', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 129', 'start': '09:00'};{'day': 'Mo', 'end': '12:40', 'location': 'SC 129', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'SC 129', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'SC 129', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'SC 129', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'SC 129', 'start': '10:40'}","False","False","","2","10/5","7/7","C","20012","Research","2001"
