"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","number","offerings","pn","semester","status","term","type","year"
"0000003618","1.0","0000000029","ART","12","1","5","3","3","ALS-A","Ojala, Margaret","{'fsnum': '5816', 'name': 'Ojala, Margaret'}","100","Found Photography","124","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'}","False","4","O","20014","Research","2001"
"0000003619","1.0","0000000196","CHEM","34","6","11","9","8","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","Organic Chemistry","247","{'day': 'Mo', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003620","0.25","0000000199","CHEM","25","5","8","7","5","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","Synthesis Lab","253","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","4","O","20014","Lab","2001"
"0000003621","1.0","0000000406","ENGL","10","1","5","0","4","ALS-L","Hill, Jan C.","{'fsnum': '109', 'name': 'Hill, Jan C.'}","200","Children's Literature","233","{'day': 'Mo', 'end': '11:30', 'location': 'L 525', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 525', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 525', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 525', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 525', 'start': '10:00'}","False","4","O","20014","Research","2001"
"0000003622","1.0","0000000407","ENGL","20","3","9","5","3","ALS-L;HWC;WRI","Richards, Melanie","{'fsnum': '10436', 'name': 'Richards, Melanie'}","200","50's Beat Literature","238","{'day': 'Mo', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 515', 'start': '12:30'}","False","4","O","20014","Topic","2001"
"0000003623","1.0","0000000418","ENGL","14","0","5","7","2","WRI","Richards, Melanie","{'fsnum': '10436', 'name': 'Richards, Melanie'}","200","Creative Writing I","257","{'day': 'Mo', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 515', 'start': '10:00'}","False","4","O","20014","Research","2001"
"0000003624","1.0","0000000441","ENGL","3","0","3","0","0","","Richards, Melanie","{'fsnum': '10436', 'name': 'Richards, Melanie'}","300","Creative Writing II","372","{'day': 'Mo', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 515', 'start': '10:00'}","False","4","O","20014","Research","2001"
"0000003626","1.0","0000000649","FAMST","10","0","3","4","3","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","Family Relationships","242","{'day': 'Mo', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'M 4', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003627","1.0","0000000651","FAMST","17","0","8","2","7","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","Human Sexuality","253","{'day': 'Mo', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'M 4', 'start': '10:00'}","False","4","O","20014","Research","2001"
"0000003625","1.0","0000001816","HIST","6","0","4","1","1","HWC;MCS-D","Hahn, Steve C.","{'fsnum': '13148', 'name': 'Hahn, Steve C.'}","200","America 1490-1865","205","{'day': 'Mo', 'end': '09:30', 'location': 'H 403', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'H 403', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'H 403', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'H 403', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'H 403', 'start': '08:00'}","False","4","O","20014","Research","2001"
