"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000003690","1.0","0000000016","AFAM","28","2","3","14","9","ALS-L;MCS-G","Hepburn, Joan","{'fsnum': '3322', 'name': 'Hepburn, Joan'}","200","30","","","","","Africa & the Americas","231","{'day': 'Tu', 'end': '11:00', 'location': 'L 577', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'L 577', 'start': '09:30'}","False","","1","C","20021","Seminar","2002"
"0000003777","1.0","0000000176","AMCON","24","23","0","0","1","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","100","","","","","","Freedoms: 1620-1865","101","{'day': 'Mo', 'end': '11:40', 'location': 'L 515', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'L 515', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'L 515', 'start': '10:45'}","False","A","1","C","20021","Research","2002"
"0000003778","1.0","0000000176","AMCON","22","21","0","0","1","","Wells, Colin","{'fsnum': '8973', 'name': 'Wells, Colin'}","100","","","","","","Freedoms: 1620-1865","101","{'day': 'Mo', 'end': '11:40', 'location': 'L 421', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'L 421', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'L 421', 'start': '10:45'}","False","B","1","C","20021","Research","2002"
"0000003779","1.0","0000000178","AMCON","14","0","0","14","0","ALS-L;MCS-D;WRI","Holly, Carol","{'fsnum': '3424', 'name': 'Holly, Carol'}","200","","","","","","Remaking Am: 1845-1945","201","{'day': 'Mo', 'end': '14:55', 'location': 'L 515', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'L 515', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'L 515', 'start': '14:00'}","False","A","1","C","20021","Research","2002"
"0000003780","1.0","0000000178","AMCON","14","0","0","13","1","ALS-L;MCS-D;WRI","Nordstrom-Loeb, Bruce","{'fsnum': '5728', 'name': 'Nordstrom-Loeb, Bruce'}","200","","","","","","Remaking Am: 1845-1945","201","{'day': 'Mo', 'end': '14:55', 'location': 'L 420', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'L 420', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'L 420', 'start': '14:00'}","False","B","1","C","20021","Research","2002"
"0000003688","1.0","0000000004","AMST","31","0","15","8","8","HBS;MCS-D","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","100","25","","14","5","10","Perspec Amer Culture","100","{'day': 'Mo', 'end': '13:50', 'location': 'ST', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'ST', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'ST', 'start': '12:55'}","False","","1","C","20021","Research","2002"
"0000003689","1.0","0000000012","AMST","1","0","0","0","1","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","","","","","IS/Asian Amer Studies","298","","False","","1","O","20021","Research","2002"
"0000003691","0.5","0000000019","ART","20","6","4","8","2","ALS-A","Evans, Jil","{'fsnum': '14958', 'name': 'Evans, Jil'}","100","22","6","3","2","2","Found Perceptual Draw","111","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'}","False","","1","C","20021","Research","2002"
"0000003692","0.5","0000000020","ART","22","8","3","7","4","ALS-A","Ewald, Jill","{'fsnum': '1987', 'name': 'Ewald, Jill'}","100","22","6","3","2","1","Found Conceptual Draw","112","{'day': 'Tu', 'end': '09:25', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'CAD 216', 'start': '08:00'}","False","","1","C","20021","Research","2002"
"0000003693","0.5","0000000021","ART","21","11","1","6","3","ALS-A","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","100","22","12","3","3","3","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'}","False","A","1","C","20021","Research","2002"
"0000003694","0.5","0000000021","ART","20","8","3","6","3","ALS-A","Evans, Jil","{'fsnum': '14958', 'name': 'Evans, Jil'}","100","22","7","2","2","2","Found Color Design","113","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 116', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'CAD 116', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 116', 'start': '23:50'}","False","B","1","C","20021","Research","2002"
