"clbid","credits","crsid","department","enrolled","instructors","learningmode","level","max","name","number","offerings","pn","prerequisites","semester","status","term","type","year"
"0000007508","1.0","0000000018","ART","3","Staff","S","100","999","Foundation Drawing","110","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 216', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 216', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 216', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 216', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 216', 'start': '12:30'}","False","False","4","O","20034","Research","2003"
"0000007509","1.0","0000001496","ART","7","Staff","S","100","999","Foundations Ceramics","121","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'}","False","False","4","O","20034","Research","2003"
"0000007510","1.0","0000000029","ART","9","Staff","S","100","999","Found Photography","124","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 102', 'start': '10:00'}","False","False","4","O","20034","Research","2003"
"0000007511","1.0","0000000032","ART","7","Staff","S","100","999","Renaissance--Present","151","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'}","False","False","4","O","20034","Research","2003"
"0000007512","1.0","0000000078","ASIAN","4","Staff","S","100","999","Asian Cultures","121","{'day': 'Mo', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'}","False","False","4","O","20034","Research","2003"
"0000007513","1.0","0000000100","BIO","9","Staff","S","100","999","Biological Science","121","{'day': 'Mo', 'end': '09:30', 'location': 'SC 278', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 278', 'start': '08:00'};{'day': 'Tu', 'end': '17:00', 'location': 'SC 273', 'start': '13:00'}","False","False","4","O","20034","Research","2003"
"0000007514","1.0","0000000122","BIO","8","Staff","S","200","999","Intermediate Genetics","233","{'day': 'Mo', 'end': '11:30', 'location': 'SC 274', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 274', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 274', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 274', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 274', 'start': '10:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 211', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'SC 211', 'start': '13:00'}","False","False","4","O","20034","Research","2003"
"0000007515","1.0","0000000196","CHEM","42","Staff","S","200","999","Organic Chemistry","247","{'day': 'Mo', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'}","False","False","4","O","20034","Research","2003"
"0000007516","0.25","0000000199","CHEM","34","Staff","S","200","48","Synthesis Lab","253","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","False","4","O","20034","Lab","2003"
"0000007517","1.0","0000000315","EDUC","12","Staff","S","300","999","Soc St-Elem Classroom","314","{'day': 'Mo', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'Tu', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'We', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'Th', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'Fr', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'Mo', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'}","False","False","4","O","20034","Research","2003"
