"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","section","semester","status","term","type","year"
"0000007712","1.0","0000000176","AMCON","23","21","0","1","1","","Titus, Mary","{'fsnum': '8415', 'name': 'Titus, Mary'}","100","24","","","","","Freedoms: 1607-1865","","101","{'day': 'Mo', 'end': '11:40', 'location': 'BMC 109', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'BMC 109', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'BMC 109', 'start': '10:45'}","False","A","1","C","20041","Research","2004"
"0000007713","1.0","0000000176","AMCON","23","21","0","0","2","","Lagerquist, L. DeAne","{'fsnum': '4592', 'name': 'Lagerquist, L. DeAne'}","100","24","","","","","Freedoms: 1607-1865","","101","{'day': 'Mo', 'end': '11:40', 'location': 'BMC 101', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'BMC 101', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'BMC 101', 'start': '10:45'}","False","B","1","C","20041","Research","2004"
"0000007714","1.0","0000000178","AMCON","14","0","0","13","1","ALS-L;MCS-D;WRI","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","200","24","","","","","Remaking Am: 1845-1945","","201","{'day': 'Mo', 'end': '13:50', 'location': 'SC 129', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'SC 129', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'SC 129', 'start': '12:55'}","False","A","1","C","20041","Research","2004"
"0000007715","1.0","0000000178","AMCON","11","0","0","11","0","ALS-L;MCS-D;WRI","Kutulas, Judy","{'fsnum': '4583', 'name': 'Kutulas, Judy'}","200","24","","","","","Remaking Am: 1845-1945","","201","{'day': 'Mo', 'end': '13:50', 'location': 'SC 110', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'SC 110', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'SC 110', 'start': '12:55'}","False","B","1","C","20041","Research","2004"
"0000007603","1.0","0000000004","AMST","33","4","8","3","18","HBS;MCS-D","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","100","32","","","","","Perspect Am Culture","","100","{'day': 'Mo', 'end': '11:40', 'location': 'RML 421', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'RML 421', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'RML 421', 'start': '10:45'}","False","","1","C","20041","Research","2004"
"0000007604","1.0","0000000011","AMST","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Academic Internship","","294","","True","","1","O","20041","Research","2004"
"0000007605","1.0","0000000012","AMST","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","IS/","","298","","False","","1","O","20041","Research","2004"
"0000007606","1.0","0000000012","AMST","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","IS/","","298","","False","A","1","O","20041","Research","2004"
"0000007607","1.0","0000000014","AMST","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","Academic Internship","","394","","True","","1","O","20041","Research","2004"
"0000007608","1.0","0000000015","AMST","1","0","0","0","1","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","300","","","","","","IR/Parent in America","","398","","False","","1","O","20041","Research","2004"
"0000007609","1.0","0000000015","AMST","1","0","0","0","1","","Holly, Carol","{'fsnum': '3424', 'name': 'Holly, Carol'}","300","","","","","","IR/Coming Age America","","398","","False","A","1","O","20041","Research","2004"
"0000008695","1.0","0000001482","ARMS","29","4","6","7","12","ALS-L;MCS-D","Hepburn, Joan","{'fsnum': '3322', 'name': 'Hepburn, Joan'}","100","25","","","","","Intro to Arms","","121","{'day': 'Tu', 'end': '14:45', 'location': 'OM 015', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'OM 015', 'start': '14:15'}","False","","1","C","20041","Research","2004"
