"clbid","credits","crsid","department","description","enrolled","firstyear","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000009127","1.0","0000000009","AMST","","32","","","Judy Kutulas","","S","200","30","Top: Amer Adolescence","","209","{'day': 'Tu', 'end': '13:10', 'location': 'SC 188', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'SC 188', 'start': '12:45'}","False","False","","3","","","C","20043","","Topic","2004"
"0000009128","1.0","0000000011","AMST","","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","O","20043","","Research","2004"
"0000009129","1.0","0000000012","AMST","","1","","","James Farrell","","S","200","999","IS/Education in Amer","","298","","False","False","","3","","","O","20043","","Research","2004"
"0000009130","1.0","0000000012","AMST","","1","","","James Farrell","","S","200","999","IS/Habits of My Heart","","298","","False","False","A","3","","","O","20043","","Research","2004"
"0000009131","1.0","0000000012","AMST","","1","","","James Farrell","","S","200","999","IS/Am Political Value","","298","","False","False","B","3","","","O","20043","","Research","2004"
"0000009132","1.0","0000000013","AMST","","16","","","Mark Allister","","S","300","15","Sem: Complex Culture","","301","{'day': 'Mo', 'end': '14:55', 'location': 'RML 421', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'RML 421', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'RML 421', 'start': '14:00'}","False","False","","3","","","C","20043","","Seminar","2004"
"0000009133","1.0","0000000017","AFAM","","24","","","Michael Fitzgerald","","S","200","22","Sem: Africa/Americas","","232","{'day': 'Mo', 'end': '10:00', 'location': 'RML 577', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'RML 577', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'RML 577', 'start': '09:05'}","False","False","","3","","","C","20043","","Seminar","2004"
"0000009134","0.5","0000000019","ART","","20","9/5","","Jill Ewald","2/3","S","100","22","Found Perceptual Draw","","111","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 216', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 216', 'start': '09:30'}","False","False","","3","5/2","4/2","C","20043","","Research","2004"
"0000009135","0.5","0000000020","ART","","22","11/9","","Mary Griep","3/2","S","100","22","Found Conceptual Draw","","112","{'day': 'Mo', 'end': '13:50', 'location': 'CAD 216', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'CAD 216', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'CAD 216', 'start': '12:55'}","False","False","","3","6/3","2/5","C","20043","","Research","2004"
"0000009136","0.5","0000000021","ART","","23","9/6","","Wendell Arneson","0/2","S","100","22","Found Color Design","","113","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'}","False","False","A","3","7/2","7/2","C","20043","","Research","2004"
"0000009137","0.5","0000000021","ART","","26","9/5","","Wendell Arneson","3/2","S","100","22","Found Color Design","","113","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 116', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 116', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 116', 'start': '10:45'}","False","False","B","3","8/3","6/3","C","20043","","Research","2004"
"0000009138","0.5","0000000022","ART","","17","5/5","","Ron Gallas","4/1","S","100","16","Foundation Sculpture","","114","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 106', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'CAD 106', 'start': '14:15'}","False","False","","3","4/2","4/5","C","20043","","Research","2004"
