"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","semester","status","term","type","year"
"0000010143","1.0","0000000032","ART","4","0","1","2","1","ALS-A;HWC;ORC","Brooks-Shirey, Heather M.","{'fsnum': '14840', 'name': 'Brooks-Shirey, Heather M.'}","100","","","","","","Intro/Art History II","","151","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 305', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 305', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 305', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 305', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 305', 'start': '12:30'}","False","4","O","20044","Research","2004"
"0000010144","1.0","0000000126","BIO","7","3","0","3","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Human Anatomy & Physiol","","243","{'day': 'Mo', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000010145","","0000000127","BIO","7","3","0","3","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Human Anatomy & Physiol","","243","{'day': 'Tu', 'end': '16:00', 'location': 'SC 253', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'SC 253', 'start': '13:00'}","False","4","O","20044","Lab","2004"
"0000010146","1.0","0000000192","CHEM","8","3","0","3","2","NSC;NSL","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","","","","","Struct Chem & Equilib","","125","{'day': 'Mo', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000010147","","0000000193","CHEM","8","3","0","3","2","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","","","","","Struct Chem & Equilib","","125","{'day': 'Mo', 'end': '16:00', 'location': 'SC 363', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 363', 'start': '13:00'}","False","4","O","20044","Lab","2004"
"0000010148","1.0","0000000196","CHEM","36","7","7","14","8","","Watson, Anthony T.;Pearson, Wesley","{'fsnum': '16643', 'name': 'Watson, Anthony T.'};{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","","","","","Organic Chemistry","","247","{'day': 'Mo', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000010149","0.25","0000000199","CHEM","34","7","6","13","8","","Watson, Anthony T.;Pearson, Wesley","{'fsnum': '16643', 'name': 'Watson, Anthony T.'};{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","","","","","Synthesis Lab","","253","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","4","O","20044","Lab","2004"
"0000010153","0.25","0000000353","DNCTE","0","0","0","0","0","ALS-A;PHA","Bader, Jennifer","{'fsnum': '311', 'name': 'Bader, Jennifer'}","100","","","","","","Ballet I","","121","{'day': 'Mo', 'end': '11:30', 'location': 'CAD _STUDIO_2', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD _STUDIO_2', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD _STUDIO_2', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD _STUDIO_2', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD _STUDIO_2', 'start': '10:00'}","True","4","X","20044","Research","2004"
"0000010154","1.0","0000000371","DNCTH","5","0","5","0","0","ALS-A;MCS-D;WRI","Klopchin, Heather J.","{'fsnum': '10044', 'name': 'Klopchin, Heather J.'}","200","","","","","","Dance in America","","246","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'}","False","4","O","20044","Research","2004"
"0000010150","1.0","0000000259","ECON","0","0","0","0","0","HBS","Dolar, Veronika","{'fsnum': '16781', 'name': 'Dolar, Veronika'}","100","","","","","","Principles of Econ","","121","{'day': 'Mo', 'end': '11:30', 'location': 'HH 413', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'HH 413', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'HH 413', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'HH 413', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'HH 413', 'start': '10:00'}","False","4","X","20044","Research","2004"
