"clbid","credits","crsid","department","enrolled","firstyear","groupid","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000010184","1.0","0000000098","ASIAN","1","","","Richard Bodman","","S","300","999","Sem: Asia","Class periods to be arranged. First class meets June 6 at 3:00 p.m. in OM035.","399","","False","False","","5","","","C","20045","Seminar","2004"
"0000010185","1.0","0000000194","CHEM","8","","0000000194","Patrick N. Riley","","S","100","999","Chemical Reactions","Class periods to be arranged. First class meets June 6 at 3:00 p.m. in OM035.","126","{'day': 'Mo', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'}","False","False","","5","","","O","20045","Research","2004"
"0000010186","0.0","0000000195","CHEM","8","","0000000194","Patrick N. Riley","","S","100","999","Chemical Reactions","","126","{'day': 'Mo', 'end': '16:00', 'location': 'SC 363', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 363', 'start': '13:00'}","False","False","","5","","","O","20045","Lab","2004"
"0000010187","1.0","0000000197","CHEM","34","","","Wesley Pearson","","S","200","999","Organic Chemistry","","248","{'day': 'Mo', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'}","False","False","","5","","","O","20045","Research","2004"
"0000010188","0.25","0000000200","CHEM","32","","","Anthony T. Watson","","S","200","999","Synthesis Lab","","254","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","False","","5","","","O","20045","Lab","2004"
"0000010189","1.0","0000000317","EDUC","12","","","Robert W. McClure","","S","300","999","Science Hlth Living","","316","","False","False","","5","","","O","20045","Research","2004"
"0000010190","1.0","0000000318","EDUC","12","","","Robert W. McClure","","S","300","999","Math--Elem Classroom","","317","","False","False","","5","","","O","20045","Research","2004"
"0000010193","1.0","0000000418","ENGL","7","","","Mary V. Winstead","","S","200","999","Creat Wrtg: Fict/Poet","Class periods to be arranged. First class meets June 14 at 7:30 a.m. in SAC112.","257","{'day': 'Mo', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'}","False","False","","5","","","O","20045","Research","2004"
"0000010194","1.0","0000000504","GERM","0","","","Staff","","S","100","999","Beginning German I","Class periods to be arranged. First class meets July 18 at 3:00 p.m. in OM35.","111","","False","False","","5","","","O","20045","Research","2004"
"0000010195","1.0","0000000505","GERM","1","","","Staff","","S","100","999","Beginning German II","Class periods to be arranged. First class meets July 18 at 3:00 p.m. in OM35.","112","","False","False","","5","","","O","20045","Research","2004"
"0000010196","1.0","0000000508","GERM","0","","","Staff","","S","200","999","Intermed German I","Class periods to be arranged. First class meets July 18 at 3:00 p.m. in OM35.","231","","False","False","","5","","","O","20045","Research","2004"
"0000010197","1.0","0000000509","GERM","1","","","Staff","","S","200","999","Intermed German II","Class periods to be arranged. First class meets July 18 at 3:00 p.m. in OM035.","232","","False","False","","5","","","O","20045","Research","2004"
"0000010198","1.0","0000000514","GERM","0","","","Staff","","S","200","999","Speaking German","Class periods to be arranged. First class meets July 18 at 3:00 p.m. in OM035.","250","","False","False","","5","","","O","20045","Research","2004"
