"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000011677","1.0","0000000011","AMST","","0","","","","","Staff","","S","200","999","Academic Internship","294","","True","False","","3","","","O","20053","Internship","Research","2005"
"0000011678","1.0","0000000012","AMST","","0","","","","","Staff","","S","200","999","IS/","298","","False","False","","3","","","O","20053","Independent Study","Research","2005"
"0000011679","1.0","0000000013","AMST","This course undertakes an intensive study of a particular period or topic through the interdisciplinary perspective of American studies. This course employs a seminar format, with concentration on student research. Recent topics include: American Cultures, Mall of America, Disney's America,American Women of Color and Man and Nature. Offered Spring Semester.","19","","","","","Judy Kutulas","","S","300","15","Sem: American 1970s","301","{'day': 'Tu', 'end': '11:00', 'location': 'HH 514', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'HH 514', 'start': '09:30'}","False","False","","3","","","C","20053","Seminar","Seminar","2005"
"0000011680","1.0","0000000016","AFAM","This course presents a study of the historical development of jazz, from its roots in blues and ragtime at the turn of the cetury to the present, focusing on its principal forms and styles, its role in American culture and contributions of major artists.","28","","","","","Joseph L. Mbele","","S","200","23","Sem: Africa/Americas","231","{'day': 'Mo', 'end': '13:50', 'location': 'RML 577', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'RML 577', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'RML 577', 'start': '12:55'}","False","False","","3","","","C","20053","Africa and the Americas: The Diaspora Experience","Seminar","2005"
"0000011681","0.5","0000000019","ART","This course provides a strong visual foundation in fundamental drawing skills. Students explore elements of line, space, texture and value, as well as their dynamics in composition. Projects emphasize translating observed three-dimensional subjects onto two-dimensional surfaces. In addition, students are introduced to the aesthetics of drawing and drawing as a means of self-expression through the study of old and contemporary masters. Lab fee.","15","","","","","John Saurer","","S","100","22","Found Perceptual Draw","111","{'day': 'Tu', 'end': '09:25', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'CAD 216', 'start': '08:00'}","False","False","","3","","","O","20053","Foundation Perceptual Drawing","Research","2005"
"0000011682","0.5","0000000020","ART","Emphasizing concepts and ideas and using drawing as a means of expression, this studio course for majors and non-majors delves into the dynamics of composition and design principles through the use of a variety of techniques and media. It couples drawing assignments with viewing and discussing contemporary and old masterpieces to broaden appreciation and understanding of drawing as a method of visual communication. Lab fee.","24","","","","","Mary Griep","","S","100","22","Found Conceptual Draw","112","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'}","False","False","A","3","","","O","20053","Foundation Conceptual Drawing","Research","2005"
"0000011683","0.5","0000000020","ART","Emphasizing concepts and ideas and using drawing as a means of expression, this studio course for majors and non-majors delves into the dynamics of composition and design principles through the use of a variety of techniques and media. It couples drawing assignments with viewing and discussing contemporary and old masterpieces to broaden appreciation and understanding of drawing as a method of visual communication. Lab fee.","16","","","","","John Saurer","","S","100","22","Found Conceptual Draw","112","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 216', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 216', 'start': '09:30'}","False","False","B","3","","","C","20053","Foundation Conceptual Drawing","Research","2005"
"0000011684","0.5","0000000021","ART","Within an art historical context, this course explores an appreciation of color and the interaction of color as it affects one's daily life. Problems are developed to foster investigation and experimentation into the formal properties of color theory and expand creativity in the painter's approach to composition and expressive content. Materials fee.","26","","","","","Wendell Arneson","","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'}","False","False","A","3","","","C","20053","Foundation Color Design","Research","2005"
"0000011685","0.5","0000000021","ART","Within an art historical context, this course explores an appreciation of color and the interaction of color as it affects one's daily life. Problems are developed to foster investigation and experimentation into the formal properties of color theory and expand creativity in the painter's approach to composition and expressive content. Materials fee.","26","","","","","Wendell Arneson","","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 116', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 116', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 116', 'start': '10:45'}","False","False","B","3","","","O","20053","Foundation Color Design","Research","2005"
"0000011686","0.5","0000000022","ART","This beginning studio course in sculpture introduces the basic aesthetic, conceptual and technical fundamentals of three-dimensional art-making and design. Students learn how to operate tools safely and efficiently, how to construct things with wood and other materials and how to describe and discuss sculpture and other objects and spaces. The course uses hands-on instruction, readings, slide talks, field trips and discussion. Lab fee.","17","","","","","Irve Dell","","S","100","16","Foundation Sculpture","114","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 106', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 106', 'start': '09:30'}","False","False","A","3","","","C","20053","","Research","2005"
