"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000054275","1.0","0000001486","ARMS","","1","0","1","0","0","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","","Academic Internship","294","","True","","","5","O","20055","","Research","2005"
"0000054010","1.0","0000001488","ARMS","","1","0","1","0","0","","Hepburn, Joan","{'fsnum': '3322', 'name': 'Hepburn, Joan'}","300","","Academic Internship","394","","True","","","5","O","20055","","Research","2005"
"0000054009","1.0","0000001489","ARMS","","1","0","1","0","0","","Hepburn, Joan","{'fsnum': '3322', 'name': 'Hepburn, Joan'}","300","","IR/Navajo Health","398","","False","","","5","O","20055","","Research","2005"
"0000053735","1.0","0000000069","ART","","1","0","0","0","1","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","IS/Advanced Painting","298","","False","","","5","O","20055","","Research","2005"
"0000053972","1.0","0000000094","ASIAN","","1","0","1","0","0","","Kucera, Karil J.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'}","200","","IS/Resources: Korea","298","","False","","","5","O","20055","Independent Study","Research","2005"
"0000054181","1.0","0000000094","ASIAN","","1","0","0","1","0","","Tegtmeyer Pak, Katherine S.","{'fsnum': '15754', 'name': 'Tegtmeyer Pak, Katherine S.'}","200","","IS/China U.S. Relations","298","","False","","A","5","O","20055","Independent Study","Research","2005"
"0000055163","1.0","0000000100","BIO","This course explores contemporary biological issues related to health and the environment with the goal of fostering informed citizens prepared for current biological debates. As students learn the relevant biological principles in lecture and lab, focused class discussions address related issues. Specific topics will include emerging diseases, cardiovascular health, genetics and environmental dynamics. The course includes lectures plus one 2-hour laboratory per week. Taught annually.","39","2","0","13","24","NSC;NSL","Umbanhowar, Charles Jr.","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'}","100","","Biological Science","121","","False","False","","5","O","20055","","Research","2005"
"0000055164","","0000000101","BIO","","39","2","0","13","24","","Umbanhowar, Charles Jr.","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'}","100","","Biological Science Lab","121","","False","","","5","O","20055","","Lab","2005"
"0000053884","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor and complete an internship application.","1","0","0","1","0","","Johnson, Theodore","{'fsnum': '4110', 'name': 'Johnson, Theodore'}","200","","Academic Internship","294","","True","False","","5","O","20055","Internship","Research","2005"
"0000053888","0.5","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor and complete an internship application.","1","0","0","1","0","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Academic Internship","294","","True","False","A","5","O","20055","Internship","Research","2005"
