"clbid","credits","crsid","department","description","enrolled","groupid","grouptype","instructors","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000069535","1.0","0000000078","ASIAN","This course examines major cultures of Asia from interdisciplinary and comparative perspectives with attention to theories of human behavior. Themes vary from year to year but may include Asian cities, heroic ideals, village and family life, population growth, gender roles, and medicine and healing traditions. No prerequisites.","11","","","Barbara Reed","S","100","999","Asian Cultures","121","{'day': 'Mo', 'end': '14:00', 'location': 'RNS 316', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RNS 316', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RNS 316', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RNS 316', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RNS 316', 'start': '12:30'}","False","False","","4","O","20084","Asian Cultures in Comparative Perspectives","Research","2008"
"0000069537","1.0","0000001209","REL","Why does human life involve suffering? If God is omnipotent and good, why does evil exist? Is God responsible, or can all evil -- and the suffering that accompanies it -- be explained by sin or human frailty. Students will explore some of the ways that Christian theology had attempted to respond to these questions, and they will also examine challenges to the Christian perspective. Prerequisite: BTS-B.","11","","","Edmund Santurri","S","200","999","God & Human Suffering","225","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'}","False","BTS-B.","","4","O","20084","God and Human Suffering","Research","2008"
"0000069541","1.0","0000000192","CHEM","This study of chemical stoichiometry, equilibrium, acid-base chemistry, coordination chemistry, and atomic and molecular structure supplies the fundamental background on which all later chemistry courses depend. It includes applications of equilibrium principles to acid-base chemistry. Students attend three classes and one 3-hour laboratory each week. Prerequisites: high school chemistry and physics. Students planning to continue in Chemistry should consider concurrent registration in Mathematics 120 or 121. Placement via online placement exam is required. The course cannot be taken in conjunction with or after credit in Chemistry 121. Offered Fall Semester.","9","0000000192","","Patrick N. Riley","S","100","999","Struct Chem & Equilib","125","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'}","False","Prerequisites: high school chemistry and physics. Students planning to continue in Chemistry should consider concurrent registration in Mathematics 120 or 121. Placement via online placement exam is required. The course cannot be taken in conjunction with or after credit in Chemistry 121. Offered Fall Semester.","","4","O","20084","Structural Chemistry and Equilibrium","Research","2008"
"0000069542","0.0","0000000193","CHEM","","9","0000000192","","Patrick N. Riley","S","100","999","Struct Chem & Equilib Lab","125","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 350', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 350', 'start': '13:00'}","False","False","","4","O","20084","","Lab","2008"
"0000069543","1.0","0000000196","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. This course focuses on structure, nomenclature, and reactions of aliphatic and alicyclic compounds, including aspects of stereochemistry and spectroscopic identification of these compounds. A full treatment of introductory organic chemistry requires subsequent enrollment in Chemistry 248. Prerequisite: Chemistry 126, or Chemistry/Biology 127, or permission of instructor. Offered Fall Semester.","50","","","Peter J. Gittins;Wesley Pearson","S","200","55","Organic Chemistry I","247","{'day': 'Mo', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'}","False","Chemistry 126, or Chemistry/Biology 127, or permission of instructor. Offered Fall Semester.","","4","O","20084","","Research","2008"
"0000069544","0.25","0000000199","CHEM","This courses introduces students to the synthesis and characterization of organic, organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one 3-hour laboratory each week. Prerequisites: previous or concurrent registration in Chemistry 247. P/N only. Offered Fall Semester.","22","","","Peter J. Gittins;Wesley Pearson","S","200","24","Synthesis Lab I","253","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: previous or concurrent registration in Chemistry 247. P/N only. Offered Fall Semester.","A","4","C","20084","Synthesis Laboratory I","Lab","2008"
"0000069545","0.25","0000000199","CHEM","This courses introduces students to the synthesis and characterization of organic, organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one 3-hour laboratory each week. Prerequisites: previous or concurrent registration in Chemistry 247. P/N only. Offered Fall Semester.","22","","","Peter J. Gittins;Wesley Pearson","S","200","24","Synthesis Lab I","253","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: previous or concurrent registration in Chemistry 247. P/N only. Offered Fall Semester.","B","4","O","20084","Synthesis Laboratory I","Lab","2008"
"0000069643","1.0","0000018785","PSCI","This course examines the European working classes' struggle for political representation and social welfare after World War II. Attention is given to the Norwegian, French, British, and Czech cases. The course inquires whether social democracy has become a victim of its own success. Offered annually, Fall Semester.","4","","","J. Patrick Dale","S","200","999","European Social Democracy","283","{'day': 'Mo', 'end': '11:30', 'location': 'TB 216', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TB 216', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TB 216', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TB 216', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TB 216', 'start': '10:00'}","False","False","","4","O","20084","","Research","2008"
"0000069645","1.0","0000019735","PSCI","How ought citizens respond to threats to national security from terrorists and distant states? The course examines Just War theory and Jihad to enquire about the connections between religions and political violence. It considers the strategic logic of terrorism and the ethical 'costs' of responses to it. It examines conflicts between Islamic 'moderates' and 'extremists' to reveal the ethical and political spectrums within Islam. Offered annually. Required prior experience of political analysis or the study of religion.","8","","","J. Patrick Dale","S","200","999","Citizenship War Terror","284","{'day': 'Mo', 'end': '16:00', 'location': 'TB 227', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'TB 227', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'TB 227', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'TB 227', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'TB 227', 'start': '14:30'}","False","False","","4","O","20084","Ethics of Citizenship in Times of War and Terrorism","Research","2008"
"0000069697","1.0","0000017675","EDUC","The course includes strategies and materials for teaching English to speakers of other languages. Students learn strategies that focus on the development of listening, speaking, reading, and writing skills in English language learners. Students review materials appropriate for non-native English speakers and create their own materials and lesson plans. Fulfills Education 382: Human Relations requirement. Required field experience component. Prerequisites: Education 246 and Education 330. Offered Summer Session only.","4","","","Heather Campbell","S","300","999","Teaching ESL K-12","347","","False","Prerequisites: Education 246 and Education 330. Offered Summer Session only.","","4","O","20084","","Research","2008"
