"clbid","credits","crsid","department","description","enrolled","groupid","grouptype","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000069538","1.0","0000001207","REL","Students read Pauline letters carefully for their major issues, such as apocalyptic, gospel, apostleship, Jew and Gentile, faith, Torah, community. Considering Paul in the context of his times and Paul in the context of later Christianity, students discuss topics such as Jews and Christians, men and women, creation, grace in Paul and present day experience. Prerequisite: BTS-B","8","","","James Hanson","S","200","999","St. Paul/Letter/Gospel","","223","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'}","False","BTS-B","","5","O","20085","Paul: His Letters, His Gospel","Research","2008"
"0000069539","1.0","0000001232","REL","This course examines the ethical teachings of Jesus as found in the canonical Gospels (with special focus on the Sermon on the Mount), explores how these teachings have been understood at some major moments in Western history, and brings them to bear on the task of contemporary ethical reflection. Issues examined include, for example, non-violence, social and economic justice, sexuality, and ethnic conflict. Prerequisites: completion of BTS-B and BTS-T.","16","","","James Hanson","S","200","999","The Ethics of Jesus","","276","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'}","False","Prerequisites: completion of BTS-B and BTS-T.","","5","O","20085","","Research","2008"
"0000069546","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one 3-hour laboratory per week. Prerequisite: Chemistry 125, or 121 and 123 and Mathematics 120 or 121 or permission of instructor. Offered Spring Semester.","10","0000000194","","Patrick N. Riley","S","100","999","Chemical Reactions","","126","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 435', 'start': '10:00'}","False","Chemistry 125, or 121 and 123 and Mathematics 120 or 121 or permission of instructor. Offered Spring Semester.","","5","O","20085","Energies and Rates of Chemical Reactions","Research","2008"
"0000069547","0.0","0000000195","CHEM","","10","0000000194","","Patrick N. Riley","S","100","999","Chemical Reactions Lab","","126","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 350', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 350', 'start': '13:00'}","False","False","","5","O","20085","","Lab","2008"
"0000069548","1.0","0000000197","CHEM","This course is a continuation of Chemistry 247 topics. Chemistry 248 delves into the chemistry of functional groups, especially those that play a role in the reactivity of biomolecules such as carbohydrates, lipids, proteins ,and nucleic acids. Together, Chemistry 247 and 248 provide a full treatment of introductory organic chemistry. Prerequisite: Chemistry 247 or permission of instructor. Offered Spring Semester.","40","","","Peter J. Gittins;Wesley Pearson","S","200","55","Organic Chemistry II","","248","{'day': 'Mo', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'}","False","Chemistry 247 or permission of instructor. Offered Spring Semester.","","5","O","20085","","Research","2008"
"0000069549","0.25","0000000200","CHEM","This course is a continuation of Chemistry 253. Students gain more experience with techniques used in Chemistry 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one 3-hour laboratory each week. Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. P/N only. Offered Spring Semester.","20","","","Peter J. Gittins;Wesley Pearson","S","200","24","Synthesis Lab II","","254","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. P/N only. Offered Spring Semester.","A","5","C","20085","Synthesis Laboratory II","Lab","2008"
"0000069550","0.25","0000000200","CHEM","This course is a continuation of Chemistry 253. Students gain more experience with techniques used in Chemistry 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one 3-hour laboratory each week. Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. P/N only. Offered Spring Semester.","21","","","Peter J. Gittins;Wesley Pearson","S","200","24","Synthesis Lab II","","254","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. P/N only. Offered Spring Semester.","B","5","C","20085","Synthesis Laboratory II","Lab","2008"
"0000069696","1.0","0000001476","WMNST","Required for the women's studies major and concentration, this course introduces students to the concept of gender as a category of analysis. It is designed for students who seek a fuller understanding of themselves as women and men and a wider knowledge of the experiences and achievements of women. Offered both Fall and Spring Semesters.","4","","","Anna Kuxhausen","S","100","999","Intro Womens Studies","","121","{'day': 'Mo', 'end': '11:30', 'location': 'HH 302', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'HH 302', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'HH 302', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'HH 302', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'HH 302', 'start': '10:00'}","False","False","","5","O","20085","Introduction to Women's Studies","Research","2008"
"0000069721","0.5","0000001012","ESAC","Students personally apply the basic principles of exercise through conditioning, strength development, endurance training, and aerobic activities. Students participate in a wide range of assessments designed to enhance physical fitness.","11","","","William Sean Goldsworthy","S","100","999","Individual Fitness.50","","133","{'day': 'Mo', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'}","False","False","","5","O","20085","Individual Fitness","Research","2008"
"0000069722","0.5","0000001016","ESAC","Students learn the principles, techniques and safety aspects of weight-training and implement a personal training plan. Students participate in a wide range of assessments (strength, power, endurance, nutrition, flexibility, body composition, stress).","0","","","William Sean Goldsworthy","S","100","999","Wt Training Co-Ed .50","","140","{'day': 'Mo', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Tu', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'We', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Th', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Fr', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'}","False","False","","5","O","20085","Weight Training","Research","2008"
