"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000073305","1.0","0000000190","CHEM","This course covers the material of Chemistry 119, with an additional laboratory component. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts towards environmental studies major and concentration; does not count toward Chemistry major. Offerd during interim.","21","","0000000190","Paul T. Jackson","","S","100","30","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.","124","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'}","False","False","","2","","","O","20102","A Matter of the Environment with Lab","Research","2010"
"0000073306","0.0","0000000191","CHEM","","21","","0000000190","Paul T. Jackson","","S","100","30","A Matter of Environ Lab","","124","{'day': 'Tu', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'};{'day': 'We', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'};{'day': 'Th', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'}","False","False","","2","","","O","20102","","Lab","2010"
"0000073307","1.0","0000000011","AMST","","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","Internship","Research","2010"
"0000073308","1.0","0000000068","ART","","1","","","Wendell Arneson","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","","Research","2010"
"0000073309","1.0","0000000073","ART","","0","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20102","","Research","2010"
"0000073310","1.0","0000000093","ASIAN","","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","","Research","2010"
"0000073311","1.0","0000000096","ASIAN","","0","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20102","","Research","2010"
"0000073312","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","3","","","Theodore Johnson","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","Internship","Research","2010"
"0000073313","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (Biology 294) and wish to complete a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty supervisor, and complete an internship form.","1","","","Diane K. Angell","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20102","Internship","Research","2010"
"0000073314","1.0","0000000204","CHEM","","1","","","Paul T. Jackson","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","Internship","Research","2010"
"0000073315","1.0","0000000222","CHEM","","2","","","Douglas J. Beussman","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20102","Internship","Research","2010"
"0000073316","1.0","0000000233","CLASS","","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","","Research","2010"
"0000073317","1.0","0000000235","CLASS","","0","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20102","","Research","2010"
"0000073318","1.0","0000000248","CHIN","","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","","Research","2010"
"0000073319","1.0","0000000251","CHIN","","0","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20102","","Research","2010"
"0000073320","1.0","0000000276","ECON","","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","","Research","2010"
"0000073321","1.0","0000000284","ECON","Academic Internship.","0","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20102","","Research","2010"
"0000073322","1.0","0000000299","CSCI","This is an intermediate-level version of Computer Science 394.","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","Internship","Research","2010"
"0000073323","1.0","0000000306","CSCI","Students gain experience in computer-industry positions. Projects have included contributions to team programming, implementation of solid modeling (NURBS), documentation, business applications of computing, and applications of computer graphics in medical research. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","0","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20102","Internship","Research","2010"
"0000073324","1.0","0000000313","EDUC","","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","","Research","2010"
"0000073325","1.0","0000000344","EDUC","","1","","","Rosemary A. Pfarr-Baker","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20102","Internship","Research","2010"
"0000073326","1.0","0000000374","DANCE","","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20102","Internship","Research","2010"
