"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000097714","0.25","0000000068","ART","","1","0","0","1","0","","Ojala, Margaret","{'fsnum': '5816', 'name': 'Ojala, Margaret'}","200","Academic Internship","","294","","True","","","5","O","20135","","Research","2013"
"0000097801","0.25","0000000068","ART","","1","0","1","0","0","","Kucera, Karil J.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'}","200","Academic Internship","","294","","True","","A","5","O","20135","","Research","2013"
"0000097782","0.25","0000000093","ASIAN","","2","0","1","1","0","","Tegtmeyer Pak, Katherine S.","{'fsnum': '15754', 'name': 'Tegtmeyer Pak, Katherine S.'}","200","Academic Internship","","294","","True","","A","5","O","20135","","Research","2013"
"0000097600","0.25","0000000096","ASIAN","","2","0","1","1","0","","Wong, Ka F.","{'fsnum': '23552', 'name': 'Wong, Ka F.'}","300","Academic Internship","","394","","True","","","5","O","20135","","Research","2013"
"0000097708","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","0","1","0","0","","Whittinghill, Kyle A.","{'fsnum': '25382', 'name': 'Whittinghill, Kyle A.'}","200","Academic Internship","","294","","True","False","","5","O","20135","Internship","Research","2013"
"0000097775","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","2","0","2","0","0","","Porterfield, Jean C.","{'fsnum': '14015', 'name': 'Porterfield, Jean C.'}","200","Academic Internship","","294","","True","False","A","5","O","20135","Internship","Research","2013"
"0000097802","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","0","0","1","0","","Cole, Eric","{'fsnum': '1206', 'name': 'Cole, Eric'}","200","Academic Internship","","294","","True","False","B","5","O","20135","Internship","Research","2013"
"0000097803","1.0","0000000154","BIO","Independent study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor, and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Office of the Registrar and Academic Advising or its Web site.","1","0","0","0","1","","Porterfield, Jean C.","{'fsnum': '14015', 'name': 'Porterfield, Jean C.'}","200","IS/Compar Reproduction","","298","","False","False","","5","O","20135","Independent Study","Research","2013"
"0000096955","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one three-hour laboratory per week. Prerequisite: Chemistry 125, or 121 and 123 and Mathematics 120 or permission of instructor. Offered annually in the spring semester.","10","4","0","3","3","NSC;NSL;SED","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","Chemical Reactions","","126","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","Chemistry 125, or 121 and 123 and Mathematics 120 or permission of instructor. Offered annually in the spring semester.","","5","O","20135","Energies and Rates of Chemical Reactions","Research","2013"
"0000096956","","0000000195","CHEM","","10","4","0","3","3","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","Chemical Reactions Lab","","126","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","","","5","O","20135","","Lab","2013"
