"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000103133","1.0","0000001496","ART","This course introduces students to the ceramic processes of wheel throwing and hand building as means for creating works of art. Students learn terminology and critical approaches to ceramics. Students develop critical skills and the ability to analyze and interpret ceramic art work. The course emphasizes creative approaches to solving visual problems through ceramic work. Slide presentations on contemporary and historical ceramics provide background for assignments and highlight the role of ceramics in various cultural contexts. Materials fee. Offered each semester. Counts toward biomedical studies concentration (for students through class of 2016).","0","0","0","0","0","ALS-A","Fisher, Kathryne","{'fsnum': '10981', 'name': 'Fisher, Kathryne'}","200","0","Ceramics","This course has been canceled.","207","{'day': 'Mo', 'end': '16:00', 'location': '', 'start': '13:00'};{'day': 'Tu', 'end': '16:00', 'location': '', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': '', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': '', 'start': '13:00'};{'day': 'Fr', 'end': '16:00', 'location': '', 'start': '13:00'}","False","False","","4","X","20144","","Research","2014"
"0000103134","1.0","0000027951","ART","This course introduces students to the medium of graphic design as a method of enhanced communication. The course explores the design communication process including conceptualization, creative processes, terminology, and technology. Assignments introduce computer applications used in the graphic design profession as well as graphic design elements of typography, production, color theory, digital printing processes, and basic web design. Counts toward studio art and art history majors and management studies concentration.","4","0","2","1","1","","Boehmer, Julie","{'fsnum': '27137', 'name': 'Boehmer, Julie'}","200","","Graphic Design","","236","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 100', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 100', 'start': '08:00'}","False","False","","4","O","20144","","Research","2014"
"0000102576","1.0","0000023461","ASIAN","The department periodically offers courses on special topics. The specific title will be listed in the class and lab schedule when it is offered. Prerequisites to be determined by instructor.","1","0","1","0","0","MCG;MCS-G","Zhou, Ying","{'fsnum': '26220', 'name': 'Zhou, Ying'}","200","","Top: E Asian Lang/Teach/Le","","200","{'day': 'Mo', 'end': '11:30', 'location': 'TOH 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TOH 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TOH 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TOH 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TOH 310', 'start': '10:00'}","False","Prerequisites to be determined by instructor.","","4","O","20144","Topics in Asian Studies","Topic","2014"
"0000102575","1.0","0000027941","ASIAN","This course considers works of Japanese anime from the post-World War II period to the present. The course begins with an introduction to the language and theory of Anime Studies. In subsequent weeks, students watch and analyze a variety of anime genres. This course employs a comparative approach to the study of anime; each anime is paired with excerpts from germane works of philosophy or literature. All anime viewed for this course includes English subtitling. Counts toward Asian studies major and Japan studies, film studies, and media studies concentrations. FLAC component available.","4","0","3","1","0","ALS-L;MCG","Bridges IV, William H.","{'fsnum': '23541', 'name': 'Bridges IV, William H.'}","200","","The Philosophy of Anime","","230","{'day': 'Mo', 'end': '11:30', 'location': 'TOH 312', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TOH 312', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TOH 312', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TOH 312', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TOH 312', 'start': '10:00'}","False","False","","4","O","20144","","Research","2014"
"0000102701","1.0","0000000114","BIO","Why do biologists do what they do? How is biology actually done? Students investigate the reasons biological science is done the way it is today. Students have the opportunity to design and perform their own experiments while learning the process of scientific investigation. Designed primarily for non-majors. Offered during Interim.","11","0","6","5","0","IST;NSC;NSL;SED","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","","Thinking & Doing Bio","Term Dates for this course: June 1 - June 26.","135","{'day': 'Mo', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'};{'day': 'Tu', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'};{'day': 'We', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'};{'day': 'Th', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'};{'day': 'Fr', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'}","False","False","","4","O","20144","Thinking and Doing Biology","Research","2014"
"0000102702","","0000000115","BIO","","11","0","6","5","0","","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","","Thinking & Doing Bio Lab","Term Dates for this Course: June 1 - June 26.","135","","False","","","4","O","20144","","Lab","2014"
"0000103101","1.0","0000000126","BIO","Students journey toward greater understanding of the human body through an integrated study of the structure of the body (anatomy) and how organs such as the brain, heart, and kidney perform their remarkable functions (physiology). The course is designed primarily for students intending careers in the health sciences. Students attend lectures plus one three-hour laboratory per week. Offered annually. Counts toward exercise science major and neuroscience concentration. Prerequisite: BIO 143, or BIO 150 and BIO 227, or BIO 125, or CH/BI 227.","0","0","0","0","0","","Crisp, Kevin M.","{'fsnum': '17430', 'name': 'Crisp, Kevin M.'}","200","","Human Anatomy & Physiol","This course has been canceled.","243","{'day': 'Mo', 'end': '11:30', 'location': '', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': '', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': '', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': '', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': '', 'start': '10:00'}","False","BIO 143, or BIO 150 and BIO 227, or BIO 125, or CH/BI 227.","","4","X","20144","Human Anatomy and Physiology: Organs and Organ Systems","Research","2014"
"0000103102","","0000000127","BIO","","0","0","0","0","0","","Crisp, Kevin M.","{'fsnum': '17430', 'name': 'Crisp, Kevin M.'}","200","","Human Anatomy & Physiol L","","243","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 254', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 254', 'start': '13:00'}","False","","","4","X","20144","","Lab","2014"
"0000102560","1.0","0000000192","CHEM","This study of chemical stoichiometry, equilibrium, acid-base chemistry, coordination chemistry, and atomic and molecular structure supplies the fundamental background on which all later chemistry courses depend. It includes applications of equilibrium principles to acid-base chemistry. Students attend three classes and one three-hour laboratory each week. Offered annually in the fall semester. Prerequisites: high school chemistry and physics. Students planning to continue in chemistry should consider concurrent registration in MATH 119 or MATH 120. Placement via online placement exam is required. The course cannot be taken in conjunction with or after credit in CHEM 121.","5","2","0","1","2","NSC;NSL;SED","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Struct Chem & Equilib","","125","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","Prerequisites: high school chemistry and physics. Students planning to continue in chemistry should consider concurrent registration in MATH 119 or MATH 120. Placement via online placement exam is required. The course cannot be taken in conjunction with or after credit in CHEM 121.","","4","O","20144","Structural Chemistry and Equilibrium","Research","2014"
"0000102561","","0000000193","CHEM","","5","2","0","1","2","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Struct Chem & Equilib Lab","","125","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","","","4","O","20144","","Lab","2014"
"0000102562","1.0","0000000196","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. This course focuses on structure, nomenclature, and reactions of aliphatic and alicyclic compounds, including aspects of stereochemistry and spectroscopic identification of organic compounds. A full treatment of introductory organic chemistry requires subsequent enrollment in CHEM 248. Offered annually in the fall semester. Prerequisite: CHEM 126, or CH/BI 227, or permission of instructor.","33","16","6","4","7","NSC","Everson, Daniel A.","{'fsnum': '26273', 'name': 'Everson, Daniel A.'}","200","48","Organic Chemistry I","","247","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'}","False","CHEM 126, or CH/BI 227, or permission of instructor.","","4","O","20144","","Research","2014"
"0000102563","0.25","0000000199","CHEM","This laboratory course introduces students to the synthesis and characterization of organic,organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one three-hour laboratory each week. P/N only. Offered annually in the fall semester. Prerequisite: previous or concurrent registration in CHEM 247.","12","5","4","2","1","","Everson, Daniel A.","{'fsnum': '26273', 'name': 'Everson, Daniel A.'}","200","24","Synthesis Lab I","","253","{'day': 'Mo', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'};{'day': 'We', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'}","True","previous or concurrent registration in CHEM 247.","A","4","C","20144","Synthesis Laboratory I","Lab","2014"
"0000103402","0.25","0000000199","CHEM","This laboratory course introduces students to the synthesis and characterization of organic,organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one three-hour laboratory each week. P/N only. Offered annually in the fall semester. Prerequisite: previous or concurrent registration in CHEM 247.","20","11","1","2","6","","Ellison, Aubrey","{'fsnum': '27199', 'name': 'Ellison, Aubrey'}","200","24","Synthesis Lab I","","253","{'day': 'Tu', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'};{'day': 'Th', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'}","True","previous or concurrent registration in CHEM 247.","B","4","O","20144","Synthesis Laboratory I","Lab","2014"
"0000102639","1.0","0000025192","ENGL","This course examines the Beat movement in American literature and culture from its emergence in the 1950s to its various literary, musical, and social outgrowths in the 1960s and after. Students read works by Kerouac, Ginsberg, Ferlinghetti, Snyder, DiPrima, and others; trace connections between the literature and such topics as the Cold War and gay rights; and examine the influence of the Beats on popular music, visual art, and film. Offered periodically. Prerequisite: FYW.","6","1","2","2","1","ALS-L;ORC","Wells, Colin","{'fsnum': '8973', 'name': 'Wells, Colin'}","200","","Beat Generation","","261","{'day': 'Mo', 'end': '11:30', 'location': 'TOH 212', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TOH 212', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TOH 212', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TOH 212', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TOH 212', 'start': '10:00'}","False","FYW.","","4","O","20144","The Beat Generation","Research","2014"
"0000102706","0.5","0000001012","ESAC","Students personally apply the basic principles of exercise through conditioning, strength development, endurance training, and aerobic activities. Students participate in a wide range of assessments designed to enhance physical fitness.","7","1","2","3","1","PHA;SPM","Stern, Craig D.","{'fsnum': '16722', 'name': 'Stern, Craig D.'}","100","","Individual Fitness.50","","133","{'day': 'Mo', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'}","False","False","","4","O","20144","Individual Fitness","Research","2014"
"0000102707","0.5","0000001016","ESAC","Students learn the principles, techniques and safety aspects of weight-training and implement a personal training plan. Students participate in a wide range of assessments (strength, power, endurance, nutrition, flexibility, body composition, stress).","7","2","5","0","0","PHA;SPM","Lerfald, Justin","{'fsnum': '18428', 'name': 'Lerfald, Justin'}","100","","Wt Training Co-Ed .50","","140","{'day': 'Mo', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'TPH Wt Rm', 'start': '14:30'}","False","False","","4","O","20144","Weight Training","Research","2014"
"0000102720","1.0","0000000479","FREN","Through study, discussion and analysis of a wide variety of texts, students explore specific social and cultural topics relevant to French culture yesterday and today (e.g., stereotypes, the family, education, immigration) and develop and expand their ability to listen, speak, read and write in French while also learning specific listening and reading strategies. Explicit focus on cross-cultural comparison/contrast and analysis. Offered each semester. Prerequisite: FREN 112 or placement.","0","0","0","0","0","","Vendetti, Maria","{'fsnum': '26256', 'name': 'Vendetti, Maria'}","200","","Intermed French I","This course has been cancelled.","231","{'day': 'Mo', 'end': '09:30', 'location': '', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': '', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': '', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': '', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': '', 'start': '08:00'}","False","FREN 112 or placement.","","4","X","20144","Intermediate French I","Research","2014"
"0000103167","1.0","0000029263","ID","Organized around three current issues, this is an interdisciplinary course examining human-spatial interaction within Africa, Asia and the Middle East. The topics of study include, for example, global warming, potable water issues, and the Palestinian dilemma. The course is deliberative in nature with a focus on the development of critical thinking skills. Taught during summer session I.","7","0","7","0","0","HBS;WRI","McClure, Robert W.","{'fsnum': '16582', 'name': 'McClure, Robert W.'}","200","","Human-Spatial Interaction","","202","{'day': 'Mo', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'}","False","False","","4","O","20144","","Research","2014"
"0000110188","1.0","0000000707","ID","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Academic Internship","","294","","True","","","4","X","20144","","Research","2014"
"0000103202","1.0","0000000728","MATH","This course explores the nature of mathematics and its role in contemporary society. The content and format of the course vary depending on the instructor's interests. In particular, the course may focus on one or two mathematical topics in depth or survey a wider range of topics. Recent topics have included mathematics of voting, probability, game theory, finance, and connections between mathematics and the arts. Offered annually. Prerequisites: high school algebra and geometry.","7","1","3","3","0","AQR;MAR","Rogers, Thomas","{'fsnum': '26285', 'name': 'Rogers, Thomas'}","100","","Gateways/Mathematics","","117","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'}","False","Prerequisites: high school algebra and geometry.","","4","O","20144","Gateways to Mathematics","Research","2014"
