"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000100634","1.0","0000000190","CHEM","Students study contemporary questions concerning the environment from the fundamental properties of matter to human impact on natural processes, including damage to and protection of the environment. Students discover how chemistry intersects with everyday living, especially the abilities and limitations of science to address environmental issues. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts toward environmental studies major (arts and humanities and social science emphases) and concentration; does not count toward chemistry major. Offered during Interim.","32","","0000000190","","George K. Anquandah","","S","100","24","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.","124","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'}","False","False","","2","","","C","20152","A Matter of the Environment with Lab","Research","2015"
"0000100635","0.0","0000000191","CHEM","","32","","0000000190","","George K. Anquandah","","S","100","24","A Matter of Environ Lab","","124","{'day': 'Tu', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'};{'day': 'We', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'};{'day': 'Th', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'}","False","False","","2","","","C","20152","","Lab","2015"
"0000100636","1.0","0000000011","AMST","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20152","","Research","2015"
"0000100637","1.0","0000000068","ART","","1","","","","Irve Dell","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20152","","Research","2015"
"0000100638","1.0","0000000073","ART","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20152","","Research","2015"
"0000100639","1.0","0000000093","ASIAN","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20152","","Research","2015"
"0000100640","1.0","0000000096","ASIAN","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20152","","Research","2015"
"0000100641","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","2","","","","Anne Walter","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20152","","Research","2015"
"0000100642","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20152","","Research","2015"
"0000100643","1.0","0000000204","CHEM","","1","","","","Daniel A. Everson","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20152","","Research","2015"
"0000100644","1.0","0000000222","CHEM","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20152","","Research","2015"
"0000100645","1.0","0000000233","CLASS","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20152","","Research","2015"
"0000100646","1.0","0000000235","CLASS","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20152","","Research","2015"
"0000100647","1.0","0000000248","CHIN","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20152","","Research","2015"
"0000100648","1.0","0000000251","CHIN","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20152","","Research","2015"
"0000100649","1.0","0000000276","ECON","","1","","","","Thomas Bernardin","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20152","","Research","2015"
"0000100650","1.0","0000000284","ECON","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20152","","Research","2015"
"0000100651","1.0","0000000299","CSCI","This is an intermediate-level version of CSCI 394.","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20152","","Research","2015"
