"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000101111","0.25","0000017526","HIST","","14","","","","","Robert Entenmann","","S","200","10","FLC - Chinese","","251","","False","False","","3","","","C","20153","","FLAC","2015"
"0000101116","0.25","0000016218","SOAN","","9","","","","","Christopher L. Chiappari","","S","200","10","FLC - Spanish","","237","","False","False","","3","","","O","20153","","FLAC","2015"
"0000101117","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings,and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Counts toward computer science major. Prerequisite: MATH 220. Permission of instructor required for first-year students.","19","","","","","Kosmas Diveris","","S","200","24","Abstract Algebra I","","252","{'day': 'Mo', 'end': '13:50', 'location': 'TOH 186', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'TOH 186', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'TOH 186', 'start': '12:55'}","False","MATH 220. Permission of instructor required for first-year students.","A","3","","","C","20153","","Research","2015"
"0000101118","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings,and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Counts toward computer science major. Prerequisite: MATH 220. Permission of instructor required for first-year students.","23","","","","","Ryota Matsuura","","S","200","24","Abstract Algebra I","","252","{'day': 'Mo', 'end': '14:55', 'location': 'TOH 186', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'TOH 186', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'TOH 186', 'start': '14:00'}","False","MATH 220. Permission of instructor required for first-year students.","B","3","","","C","20153","","Research","2015"
"0000101120","1.0","0000000011","AMST","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101121","1.0","0000000068","ART","","1","","","","","Irve Dell","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101122","1.0","0000000073","ART","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101123","1.0","0000000093","ASIAN","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101124","1.0","0000000096","ASIAN","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101125","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","","","","Diane K. Angell","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101126","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","1","","","","","Diane K. Angell","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101127","1.0","0000000204","CHEM","","1","","","","","William C. Solomon","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101128","1.0","0000000222","CHEM","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101129","1.0","0000000233","CLASS","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101130","1.0","0000000235","CLASS","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101131","1.0","0000000248","CHIN","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101132","1.0","0000000251","CHIN","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101133","1.0","0000000276","ECON","","1","","","","","Anthony Becker","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101134","1.0","0000000284","ECON","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101135","1.0","0000000299","CSCI","This is an intermediate-level version of CSCI 394.","1","","","","","Richard Brown","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101136","1.0","0000000306","CSCI","Students gain experience in computer-industry positions. Projects have included contributions toteam programming, implementation of solid modeling (NURBS), documentation, business applications of computing, and applications of computer graphics in medical research. Internshipexperiences (whether for credit or not) are strongly encouraged for anyone considering acareer in computing.","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101137","1.0","0000000313","EDUC","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101138","1.0","0000000344","EDUC","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101139","1.0","0000000374","DANCE","","1","","","","","Heather J. Klopchin","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","Internship","Research","2015"
"0000101141","1.0","0000000433","ENGL","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101142","1.0","0000000449","ENGL","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101143","1.0","0000000464","ENVST","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101144","1.0","0000000466","ENVST","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101145","1.0","0000000490","FREN","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20153","","Research","2015"
"0000101146","1.0","0000000494","FREN","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20153","","Research","2015"
"0000101147","1.0","0000000522","GERM","Students spend four weeks during Interim or summer in an individually selected German or Austrian workplace. Opportunities include work in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability in host institutions. Maybe counted toward German major or German studies concentration. Prerequisite: at least one 250-level course.","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","at least one 250-level course.","","3","","","C","20153","","Research","2015"
