"clbid","credits","crsid","department","description","enrolled","groupid","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000123999","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one three-hour laboratory per week. Offered annually in the spring semester. Counts toward biomolecular science concentration. Prerequisite: CHEM 125, or CHEM 121 and CHEM 123, and concurrent or previous MATH 119 or MATH 120, or permission of instructor.","6","0000000194","Patrick N. Riley","S","100","24","Chemical Reactions","Students registering for Chem 126 must also register for Chem 126 lab.","126","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","CHEM 125, or CHEM 121 and CHEM 123, and concurrent or previous MATH 119 or MATH 120, or permission of instructor.","","5","O","20185","Energies and Rates of Chemical Reactions","Research","2018"
"0000124000","0.0","0000000195","CHEM","","6","0000000194","Patrick N. Riley","S","100","24","Chemical Reactions Lab","","126","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","False","","5","O","20185","","Lab","2018"
"0000124001","1.0","0000000197","CHEM","This course is a continuation of CHEM 247 topics. Chemistry 248 delves into the chemistry of functional groups, especially those that play a role in the reactivity of biomolecules such as carbohydrates, lipids, proteins ,and nucleic acids. Together, CHEM 247 and CHEM 248 provide a full treatment of introductory organic chemistry. Offered annually in the spring semester. Counts toward environmental studies major (natural science emphasis) and biomolecular science concentration. Prerequisite: CHEM 247 or permission of instructor.","13","","Peter J. Gittins","S","200","24","Organic Chemistry II","Term dates for this course: July 15-August 16;Students in CHEM 248 normally register for CHEM 254 lab. CHEM 254 lab is not;automatically registered with CHEM 248. Please register for that separately.","248","{'day': 'Mo', 'end': '12:00', 'location': 'RNS 390', 'start': '09:00'};{'day': 'We', 'end': '12:00', 'location': 'RNS 390', 'start': '09:00'};{'day': 'Fr', 'end': '12:00', 'location': 'RNS 390', 'start': '09:00'}","False","CHEM 247 or permission of instructor.","","5","O","20185","","Research","2018"
"0000124002","0.25","0000000200","CHEM","This course is a continuation of CHEM 253. Students gain more experience with techniques used in CHEM 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one three-hour laboratory each week. P/N only. Offered annually in the spring semester. Counts toward environmental studies major (natural science emphasis) and biomolecular science concentration. Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","10","","Peter J. Gittins","S","200","24","Synthesis Lab II","Term dates for this lab: July 15-August 16","254","{'day': 'We', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'Tu', 'end': '12:00', 'location': 'RNS 340', 'start': '09:00'};{'day': 'Th', 'end': '12:00', 'location': 'RNS 340', 'start': '09:00'}","True","Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","","5","O","20185","Synthesis Laboratory II","Lab","2018"
"0000127175","1.0","0000000322","EDUC","This course examines basic assumptions about social science, primal thought, feminism, humanities, history, post-modernism, and thematic social studies. Students pursue methodologies of structuring knowledge and the means of advancing knowledge in each discipline. Students learn how to relate their social studies subject matter to the total social studies curriculum. Offered annually in the spring semester. Prerequisite: EDUC 260 or EDUC 290 or permission of instructor.","3","","Robert W. McClure","S","300","999","Social Studies Perspectives","","334","{'day': 'Mo', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'}","False","EDUC 260 or EDUC 290 or permission of instructor.","","5","O","20185","","Research","2018"
"0000127258","1.0","0000001403","STAT","A first course in statistical methods for scientists, this course addresses issues for proposing/designing an experiment, as well as exploratory and inferential techniques for analyzing and modeling scientific data. Topics include probability models, exploratory graphics, descriptive techniques, statistical designs, hypothesis testing, confidence intervals, and simple/multiple regression. Offered each semester. Enrollment limited for seniors. STAT 110, STAT 212, and ECON 263 all provide an introduction to statistics and students should not take more than one; they all can serve as a prerequisite for further courses. Counts toward environmental studies major (natural science and social science emphases), exercise science major, management studies concentration, and mathematical biology concentration.","4","","Luke D. Jacobsen","S","200","20","Statistics for Science","","212","{'day': 'Mo', 'end': '11:30', 'location': 'TOH 182', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TOH 182', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TOH 182', 'start': '10:00'};{'day': 'Mo', 'end': '14:00', 'location': 'TOH 182', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TOH 182', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TOH 182', 'start': '12:30'}","False","False","","5","O","20185","Statistics for the Sciences","Research","2018"
"0000127259","1.0","0000024281","WRIT","This course prepares McNair Scholars for the rigors of academic writing. Because the enrolled students represent a variety of disciplines, this course serves as a general introduction to writing in research; it is not meant to replace discipline-specific research methods or writing courses. Students read scholarly literature in their disciplines, write a literature review, draft various sections of a research paper, and prepare for a formal poster presentation. Offered every summer.","8","","Jean C. Porterfield","S","200","10","McNair Research Writing","Open only to McNair Scholars.;Class dates for this course are May 28 - August 2.","237","","False","False","","5","C","20185","McNair Research Writing Across the Disciplines","Research","2018"
"0000127959","1.0","0000027687","REL","The death of God refers to both the absence of God in a post-Christian culture and the death of Jesus on the cross. These two meanings have a significance for the religious and non-religious alike. Students evaluate the challenges that the death of God has for the concept of God, the meaning and purpose of Jesus, religious belief, reason, and the secular by reading classical and contemporary theological work on the death of Jesus and the death of God. Offered alternate years. Prerequisite: BTS-B.","11","","Gregory A. Walter","S","200","22","The Death of God","Prerequisite: completion of BTS-B or permission of instructor.","244","{'day': 'Mo', 'end': '14:00', 'location': 'OM 110', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'OM 110', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'OM 110', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'OM 110', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'OM 110', 'start': '12:30'}","False","BTS-B.","","5","O","20185","Theology after the Death of God","Research","2018"
"0000127960","1.0","0000001237","REL","The nature and boundaries of communities, as well as the quality of relationships within communities, are determined by theology as well as by social, political, and ethnic factors. Students examine the ways in which the world's religions, particularly Christianity, have interpreted each other's significance and truth claims and considers the ethical implications of these different responses. Prerequisite: BTS-T or permission of instructor.","10","","Gregory A. Walter","S","200","22","Rel Pluralsm/Communit","Prerequisite: completion of BTS-T or permission of instructor.","293","{'day': 'Mo', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'}","False","BTS-T or permission of instructor.","","5","O","20185","Religious Pluralism and the Nature of Community","Research","2018"
"0000128097","1.0","0000000866","MUSIC","","0","","Staff","S","300","999","IR/","","398","","False","False","","5","C","20185","Independent Research","Research","2018"
