"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000126627","1.0","0000000016","AFAD","This interdisciplinary course examines the ties that bind Africans and African Americans. Africans on the African continent and in the diaspora share historical, cultural, and religious lives that prove richly diverse. Students explore ways that peoples of African descent interact. From colonial times to the present day whether in the New World, or in Africa their lives intersect to create institutions and powerful influences in the world. Counts toward American studies major and race and ethnic studies major and concentration.","21","10","1","8","2","ALS-L;MCG;MCS-G","Hepburn, Joan","{'fsnum': '3322', 'name': 'Hepburn, Joan'}","200","25","","","","","Sem: Africa/Americas","Please note recent days/times change.","231","{'day': 'Tu', 'end': '21:00', 'location': 'RML 515', 'start': '18:00'}","False","False","","3","O","20193","Africa and the Americas: The Diaspora Experience","Seminar","2019"
"0000125775","1.0","0000018612","AFAD","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","0","","","","","Academic Internship","Please see Piper Center's academic internship website to access Handshake to    ;fill out the necessary information to register for this class.","294","","True","","","3","C","20193","","Research","2019"
"0000126362","1.0","0000018613","AFAD","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","IS/","","298","","False","","","3","O","20193","Independent Study","Research","2019"
"0000125776","1.0","0000018614","AFAD","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","0","","","","","Academic Internship","Please see Piper Center's academic internship website to access Handshake to    ;fill out the necessary information to register for this class.","394","","True","","","3","C","20193","","Research","2019"
"0000126300","1.0","0000018615","AFAD","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","IR/","","398","","False","","","3","O","20193","Independent Research","Research","2019"
"0000125918","1.0","0000032353","AMCON","The United States was founded by breaking away from an empire, yet has grown into an imperial power. This course explores territorial expansion, the development of a pluralistic American state with varied internal borders and cultural realms, and the emergence of the United States as a world power. Examining American history through lenses used by creative artists, historians and social scientists, students consider such topics as global trade, slavery, urbanization, and war. Offered annually in the spring semester. Counts toward American studies major. Prerequisite: AMCON 110.","20","20","0","0","0","FYW;HWC","Chapp, Chris B.;Titus, Mary","{'fsnum': '20181', 'name': 'Chapp, Chris B.'};{'fsnum': '8415', 'name': 'Titus, Mary'}","100","0","","0","0","0","Borders and Empires","Open to American Conversations students only.                                   ;This course includes an academic civic engagement (ACE) component.","111","{'day': 'Mo', 'end': '13:50', 'location': 'RML 515', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'RML 515', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'RML 515', 'start': '12:55'}","False","AMCON 110.","A","3","C","20193","","Research","2019"
"0000125919","1.0","0000032353","AMCON","The United States was founded by breaking away from an empire, yet has grown into an imperial power. This course explores territorial expansion, the development of a pluralistic American state with varied internal borders and cultural realms, and the emergence of the United States as a world power. Examining American history through lenses used by creative artists, historians and social scientists, students consider such topics as global trade, slavery, urbanization, and war. Offered annually in the spring semester. Counts toward American studies major. Prerequisite: AMCON 110.","19","19","0","0","0","FYW;HWC","Chapp, Chris B.;Titus, Mary","{'fsnum': '20181', 'name': 'Chapp, Chris B.'};{'fsnum': '8415', 'name': 'Titus, Mary'}","100","0","","0","0","0","Borders and Empires","Open to American Conversations students only.                                   ;This course includes an academic civic engagement (ACE) component.","111","{'day': 'Mo', 'end': '13:50', 'location': 'RML 520', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'RML 520', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'RML 520', 'start': '12:55'}","False","AMCON 110.","B","3","C","20193","","Research","2019"
"0000127640","1.0","0000032355","AMCON","Hope, based on expectations of opportunity, and fear, grounded in cataclysms, shape everyday life and the United States' role in the world. Fears underlie conflicts between groups; hope animates social movements and energizes human rights initiatives. This course prepares students to be engaged citizens on campus and beyond. A culminating civic engagement experience draws from previous American Conversations assignments. Students will help design part of the course, shaping future conversations of hope and fear. Offered annually in the spring semester. Counts toward American studies major. Prerequisites: AMCON 110, AMCON 111, and AMCON 210.","17","3","2","12","0","ALS-A;HBS;WRI","Wells, Colin;Fure-Slocum, Eric J.","{'fsnum': '8973', 'name': 'Wells, Colin'};{'fsnum': '10197', 'name': 'Fure-Slocum, Eric J.'}","200","0","0","0","","0","Fear and Hope","This course includes an academic civic engagement (ACE) component.","211","{'day': 'Mo', 'end': '12:45', 'location': 'HH 502', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'HH 502', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'HH 502', 'start': '23:50'}","False","Prerequisites: AMCON 110, AMCON 111, and AMCON 210.","A","3","C","20193","","Research","2019"
"0000127641","1.0","0000032355","AMCON","Hope, based on expectations of opportunity, and fear, grounded in cataclysms, shape everyday life and the United States' role in the world. Fears underlie conflicts between groups; hope animates social movements and energizes human rights initiatives. This course prepares students to be engaged citizens on campus and beyond. A culminating civic engagement experience draws from previous American Conversations assignments. Students will help design part of the course, shaping future conversations of hope and fear. Offered annually in the spring semester. Counts toward American studies major. Prerequisites: AMCON 110, AMCON 111, and AMCON 210.","17","0","2","15","0","ALS-A;HBS;WRI","Wells, Colin;Fure-Slocum, Eric J.","{'fsnum': '8973', 'name': 'Wells, Colin'};{'fsnum': '10197', 'name': 'Fure-Slocum, Eric J.'}","200","0","0","","","","Fear and Hope","This course includes an academic civic engagement (ACE) component.","211","{'day': 'Mo', 'end': '12:45', 'location': 'HH 429', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'HH 429', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'HH 429', 'start': '23:50'}","False","Prerequisites: AMCON 110, AMCON 111, and AMCON 210.","B","3","C","20193","","Research","2019"
"0000125693","1.0","0000000011","AMST","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","0","","","","","Academic Internship","Please see Piper Center's academic internship website to access Handshake to    ;fill out the necessary information to register for this class.","294","","True","","","3","C","20193","","Research","2019"
