"clbid","credits","crsid","department","description","enrolled","groupid","instructors","learningmode","level","max","name","notes","number","pn","prerequisites","section","semester","status","term","title","type","year"
"0000133819","1.0","0000000192","CHEM","This study of chemical stoichiometry, equilibrium, acid-base chemistry, coordination chemistry, and atomic and molecular structure supplies the fundamental background on which all later chemistry courses depend. It includes applications of equilibrium principles to acid-base chemistry. Students attend three classes and one three-hour laboratory per week. Offered annually in the fall semester. Also counts toward biomolecular science concentration. Students planning to continue in chemistry should consider concurrent registration in MATH 119 or MATH 120. The course cannot be taken in conjunction with or after credit in CHEM 121. Prerequisite: placement via online placement exam.","11","0000000192","Patrick N. Riley","S","100","24","Struct Chem & Equilib","Students in Chemistry 126 must also register for Chemistry 125 Lab.;This course will be offered by remote instruction.","125","False","placement via online placement exam.","","4","O","20194","Structural Chemistry and Equilibrium","Research","2019"
"0000133820","0.0","0000000193","CHEM","","11","0000000192","Patrick N. Riley","S","100","24","Struct Chem & Equilib Lab","This lab will be offered by remote instruction.","125","False","False","","4","O","20194","","Lab","2019"
"0000133821","1.0","0000000196","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. This course focuses on structure, nomenclature, and reactions of aliphatic and alicyclic compounds, including aspects of stereochemistry and spectroscopic identification of organic compounds. A full treatment of introductory organic chemistry requires subsequent enrollment in CHEM 248. Offered annually in the fall semester. Also counts toward biomolecular science concentration. Prerequisite: CHEM 126, or CH/BI 227, or permission of instructor.","24","","Peter J. Gittins","S","200","30","Organic Chemistry I","Term dates for this course: June 1-July 1. Students in CHEM 247 normally;register for CHEM 253 lab. CHEM 253 cannot be offered remotely this summer.;Supplemental Instruction (SI) is available for this course.","247","False","CHEM 126, or CH/BI 227, or permission of instructor.","","4","O","20194","","Research","2019"
"0000133876","1.0","0000001403","STAT","A first course in statistical methods for scientists, this course addresses issues for proposing/designing an experiment, as well as exploratory and inferential techniques for analyzing and modeling scientific data. Topics include probability models, exploratory graphics, descriptive techniques, statistical designs, hypothesis testing, confidence intervals, and simple/multiple regression. Offered each semester. Enrollment limited for seniors. STAT 110, STAT 212, and ECON 263 all provide an introduction to statistics and students should not take more than one; they all can serve as a prerequisite for further courses. Also counts toward environmental studies major (natural science and social science emphases), exercise science major, and management studies and mathematical biology concentrations.","16","","Joe Roith","S","200","20","Statistics for Science","This course will be offered by remote instruction.;This course will be partially asynchronous.;This course includes an academic civic engagement (ACE) component.","212","False","False","","4","O","20194","Statistics for the Sciences","Research","2019"
"0000134035","1.0","0000000939","NURS","This course explores the sources, chemical composition, and metabolic behavior of nutrients. Nutritional requirements for a balanced diet are examined as well as the consequences of excesses and deficiencies. Students use nutrition tools and guidelines to make sound food choices, learn how to read food labels, and consider factors affecting food consumption. Class activities increase students' awareness of a healthy diet, help students evaluate nutrition behaviors, and facilitate a nutritionally sound lifestyle. Offered annually. Does not count toward major, but is a prerequisite for the nursing major.","7","","Susan Huehn","S","100","30","Nutrition and Wellness","This course will be offered by remote instruction.","110","False","False","","4","O","20194","","Research","2019"
"0000134108","1.0","0000000029","ART","This course introduces students to digital photographic processes as a means for creating works of art. Students learn terminology and critical approaches to photography. The course includes presentations on concepts and photographers' works, discussions of articles, and regular critiques. Students are introduced to the history of the medium through presentations and readings. Students develop critical skills and the ability to analyze and interpret photographic work. Materials fee. Offered each semester. Also counts toward management studies and media studies concentrations.","5","","Miranda Brandon","S","200","16","Photography","This course will be offered by remote instruction. Course requirements: Open to;any type of camera, including phone cameras, a computer than can support Adobe;Photoshop and Lightroom, and a dedicated internet connection for group meetings.","205","False","False","","4","O","20194","","Research","2019"
"0000134109","1.0","0000000114","BIO","Why do biologists do what they do? How is biology actually done? Students investigate the reasons biological science is done the way it is today. Includes laboratory component. Students have the opportunity to design and perform their own experiments while learning the process of scientific investigation. Designed primarily for non-majors. Offered during Interim.","12","0000000114","John Giannini","S","100","15","Thinking & Doing Bio","Students registering for BIO 135 must also register for BIO 135 Lab.;This course will be delivered by remote instruction.","135","False","False","","4","O","20194","Thinking and Doing Biology","Research","2019"
"0000134110","0.0","0000000115","BIO","","12","0000000114","John Giannini","S","100","15","Thinking & Doing Bio Lab","","135","False","False","","4","O","20194","","Lab","2019"
"0000134111","1.0","0000000126","BIO","Students journey toward greater understanding of the human body through an integrated study of the structure of the body (anatomy) and how organs such as the brain, heart, and kidney perform their remarkable functions (physiology). The course is designed primarily for students intending careers in the health sciences. Students attend lectures plus one three-hour laboratory per week. Offered each semester. Also counts toward exercise science major and neuroscience concentration. Prerequisite: BIO 143, or BIO 150 and BIO 227 or CH/BI 227.","15","0000000126","Steven Cole","S","200","24","Human Anatomy & Physiology II","Students registered for BIO 243 must also register for BIO 243 Lab.;This course will be offered by remote instruction.","243","False","BIO 143, or BIO 150 and BIO 227 or CH/BI 227.","","4","O","20194","Human Anatomy and Physiology: Organs and Organ Systems","Research","2019"
"0000134112","0.0","0000000127","BIO","","15","0000000126","Steven Cole","S","200","24","Human Anatomy & Physiology II Lab","This lab will be offered by remote instruction.","243","False","False","","4","O","20194","","Lab","2019"
