"clbid","credits","crsid","department","description","enrolled","gereqs","groupid","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000146324","1.0","0000026712","BIO","The study of the anatomy and physiology of the human body is founded on a thorough understanding of the structure and function of cells and tissues. Students attend lectures plus one three-hour laboratory per week. Nursing and kinesiology majors may pre-register for this course. This course may not be taken after completion of CH/BI 227 or BIO 227. Offered in the fall semester. Also counts toward the kinesiology major.","13","NTS","0000026712","Steven Cole","S","100","24","Human Anatomy & Physiology I","Students in BIO 143 must also register for BIO 143 lab.","143","","False","False","","4","O","20214","Human Anatomy and Physiology: Cells and Tissues","Research","2021"
"0000146325","0.0","0000026713","BIO","","13","","0000026712","Steven Cole","S","100","24","Human Anatomy & Physiology I Lab","","143","","False","False","","4","O","20214","","Lab","2021"
"0000146326","1.0","0000000192","CHEM","This study of chemical stoichiometry, equilibrium, acid-base chemistry, coordination chemistry, and atomic and molecular structure supplies the fundamental background on which all later chemistry courses depend. It includes applications of equilibrium principles to acid-base chemistry. Students attend three classes and one three-hour laboratory per week. Students planning to continue in chemistry should consider concurrent registration in MATH 119 or MATH 120. The course cannot be taken in conjunction with or after credit in CHEM 121 or CHEM 122. Offered annually in the fall semester. Also counts toward biology major and biomolecular science concentration. Prerequisite: placement via online placement survey.","4","NTS","0000000192","Patrick N. Riley","S","100","24","Struct Chem & Equilib","Students in Chemistry 125 must also register for Chemistry 125 Lab.","125","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","placement via online placement survey.","","4","O","20214","Structural Chemistry and Equilibrium","Research","2021"
"0000146327","0.0","0000000193","CHEM","","4","","0000000192","Patrick N. Riley","S","100","24","Struct Chem & Equilib Lab","","125","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","False","","4","O","20214","","Lab","2021"
"0000146328","1.0","0000000196","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. This course focuses on structure, nomenclature, and reactions of aliphatic and alicyclic compounds, including aspects of stereochemistry and spectroscopic identification of organic compounds. A full treatment of introductory organic chemistry requires subsequent enrollment in CHEM 248. Offered annually in the fall semester. Also counts toward biomolecular science concentration. Prerequisite: CHEM 126 or CH/BI 126 or permission of instructor.","9","","","Peter J. Gittins","S","200","24","Organic Chemistry I","Course dates are June 6 - July 8 (No Class July 4)","247","{'day': 'Mo', 'end': '12:00', 'location': 'RNS 390', 'start': '09:00'};{'day': 'We', 'end': '12:00', 'location': 'RNS 390', 'start': '09:00'};{'day': 'Fr', 'end': '12:00', 'location': 'RNS 390', 'start': '09:00'}","False","CHEM 126 or CH/BI 126 or permission of instructor.","","4","O","20214","","Research","2021"
"0000146329","0.25","0000000199","CHEM","This laboratory course introduces students to the synthesis and characterization of organic,organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one three-hour laboratory each week. P/N only. Offered annually in the fall semester. Also counts toward biomolecular science concentration. Prerequisite: previous or concurrent registration in CHEM 247.","8","","","Peter J. Gittins","S","200","24","Synthesis Lab I","Course dates are June 7 - July 7 (No Class July 4)","253","{'day': 'Tu', 'end': '12:30', 'location': 'RNS 340', 'start': '08:30'};{'day': 'Th', 'end': '12:30', 'location': 'RNS 340', 'start': '08:30'}","True","previous or concurrent registration in CHEM 247.","","4","O","20214","Synthesis Laboratory I","Lab","2021"
"0000146330","1.0","0000034973","CSCI","Students explore special topics in computer science. Topics may vary from year-to-year. May be repeated if topics are different. Offered periodically. Prerequisite: permission of instructor.","7","","","Sravya Kondrakunta","S","200","18","Top: Intro to Machine Learning","Topic: Introduction to Machine Learning.;Prerequisite: CSCI 221 or CSCI 251, or permission of instructor.","200","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'}","False","permission of instructor.","","4","O","20214","Topics in Computer Science","Topic","2021"
"0000146332","1.0","0000021584","FMS","This course is an introduction to film analysis. Students learn the language used to describe and understand various features and aspects of the cinema. In addition to exploring the elements that make up a film, students also think carefully about the decisions, techniques, and strategies that inform film production. Topics of study include narrative, mise-en-scene, cinematography, editing, film sound, and, later in the course, broader categories of classification such as genre and mode.","10","CRE","","Björn Nordfjörd","A","100","24","Intro to Film Studies","","101","","False","False","","4","O","20214","Introduction to Film Studies","Research","2021"
"0000146333","1.0","0000026169","GSS","Required for the gender and sexuality studies major and concentration, this course introduces students to the concept of gender as a category of analysis. It is designed for students who seek a fuller understanding of themselves as women and men and a wider knowledge of the experiences and achievements of women. Offered each semester. Also counts toward educational studies concentration.","3","","","Andrea L. Schmidt","A","100","25","Intro Gender/Sexuality St","","121","","False","False","","4","O","20214","Introduction to Gender and Sexuality Studies","Research","2021"
"0000146335","0.25","0000001011","KINES","Students learn and apply the basic principles of fitness through a variety of aerobic activities.","9","ACB","","Kayla R. Hatting","S","100","25","Aerobics","","131","","False","False","B","4","O","20214","","Research","2021"
"0000146336","1.0","0000000939","NURS","This course explores the sources, chemical composition, and metabolic behavior of nutrients. Nutritional requirements for a balanced diet are examined as well as the consequences of excesses and deficiencies. Students use nutrition tools and guidelines to make sound food choices, learn how to read food labels, and consider factors affecting food consumption. Class activities increase students' awareness of a healthy diet, help students evaluate nutrition behaviors, and facilitate a nutritionally sound lifestyle. Offered annually. Does not count toward major, but is a prerequisite for the nursing major.","9","NTS","","Susan Huehn","A","100","30","Nutrition and Wellness","","110","","False","False","","4","O","20214","","Research","2021"
"0000146337","1.0","0000000982","PHIL","Valuing nature raises significant philosophical and ethical issues. This course considers the nature of animal life, the character and control of pollution, the conflict between preservationism and conservationism, corporate and governmental responsibility for the eco-crisis, the use of economic categories to assess wilderness areas and endangered species, the conflict between eco-holism and individualism, and the philosophy of wilderness management. Offered annually. Also counts toward environmental studies major (all emphases) and environmental studies and management studies concentrations.","3","ERC","","Alberto Urquidez","S","200","20","Environmental Ethics","","257","","False","False","","4","O","20214","","Research","2021"
"0000146339","1.0","0000001154","PSYCH","This whirlwind introduction comprehensively examines foundational principles, theoretical approaches, and major areas of study within psychology. Acting as skeptical scientists, students gain another lens on the human experience by which they can better understand themselves and others. Students see psychology as a science and challenge ""common sense"" explanations about how people function. This gateway course captures the essence of the liberal arts, applying to almost any career choice. Offered each semester. Also counts toward nursing, social studies education, and social work majors and educational studies concentration.","8","SCS","","Gary M. Muir","A","100","25","Principles: Psych","","125","","False","False","","4","O","20214","Principles of Psychology","Research","2021"
"0000146340","1.0","0000027687","REL","The death of God refers to the absence or non-existence of God in a post-Christian world. What happens after God has exited the scene? Is there only nature, humanity, or nothing at all? Students evaluate the challenges that the death of God has for thinking about God, the meaning and purpose of Jesus in such conditions, as well as religious belief, reason, and the secular by reading classical and contemporary theological work on the death of Jesus and the death of God. Offered periodically.","9","CTD","","Gregory A. Walter","S","200","25","The Death of God","","244","","False","False","","4","O","20214","Theology after the Death of God","Research","2021"
