"clbid","credits","crsid","department","description","enrolled","firstyear","gereqs","groupid","grouptype","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000150326","1.0","0000000068","ART","See internships in the academic catalog: https://nextcatalog.stolaf.edu/academic-regulations-procedures/registration-course-enrollment/","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","","Research","2023"
"0000150327","1.0","0000000073","ART","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150328","1.0","0000000093","ASIAN","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","","Research","2023"
"0000150329","1.0","0000000096","ASIAN","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150330","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","","Research","2023"
"0000150331","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150332","1.0","0000000204","CHEM","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","","Research","2023"
"0000150333","1.0","0000000222","CHEM","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150334","1.0","0000000233","CLASS","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","","Research","2023"
"0000150335","1.0","0000000235","CLASS","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150336","1.0","0000000248","CHIN","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","","Research","2023"
"0000150337","1.0","0000000251","CHIN","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150338","1.0","0000000276","ECON","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","","Research","2023"
"0000150339","1.0","0000000284","ECON","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150340","1.0","0000000299","CSCI","This is an intermediate-level version of CSCI 394.","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","","Research","2023"
"0000150341","1.0","0000000306","CSCI","Students gain experience in computer-industry positions. Recent projects have included contributions to team programming, documentation, business applications of computing, modifications of large proprietary code bases using industry-standard software frameworks, test-driven development, creating mobile-computing interfaces for existing software systems, and improving security of company websites. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150342","1.0","0000000344","EDUC","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150343","1.0","0000000374","DANCE","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","Internship","Research","2023"
"0000150344","1.0","0000000377","DANCE","","0","","OEP","","","Staff","","S","300","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","2","","","C","20232","","Research","2023"
"0000150345","1.0","0000000433","ENGL","","0","","OEP","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","2","","","C","20232","","Research","2023"
