"clbid","credits","crsid","department","description","enrolled","gereqs","groupid","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","status","term","title","type","year"
"0000165466","1.0","0000001072","PHYS","This two-semester in-depth course addresses topics in classical and modern physics using algebra, geometry, and some calculus. The course is well suited for students of biology or chemistry or for those desiring a thorough introduction beyond the high school level. Physics 124 takes up the Newtonian mechanics of point particles (motion, mass, force, torque, energy, momentum, and gravitation), Einstein's reexamination of space time (relativity), and nuclear physics. Students attend lectures plus one 2.5-hour laboratory per week. Offered annually in the fall semester. Does not count toward physics major. Prerequisite: MATH 119 or MATH 120 or equivalent.","16","","0000001072","Brian Borovsky","","A","100","16","Principles Physics I","The dates for this course are May 27th-June 27th.","124","","False","MATH 119 or MATH 120 or equivalent.","","4","","C","20244","Principles of Physics I","Research","2024"
"0000165467","0.0","0000001073","PHYS","","16","","0000001072","Brian Borovsky","","A","100","16","Principles Physics I Lab","","124","","False","False","","4","","C","20244","","Lab","2024"
"0000165531","1.0","0000000424","ENGL","Students explore the complex relationships between literature and film. How do we translate the verbal into the visual? What can novels do that films cannot and vice versa? Subject matter includes both classic and contemporary fiction and film. Also counts toward film and media studies major and concentration. Prerequisite: WRIT 120 or equivalent.","0","ALS-L","","Björn Nordfjörd","","S","200","30","Literature & Film","","275","{'day': 'Fr', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Mo', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'}","False","WRIT 120 or equivalent.","","4","","O","20244","Literature and Film","Research","2024"
"0000165532","1.0","0000021584","FMS","This course is an introduction to film analysis. Students learn the language used to describe and understand various features and aspects of the cinema. In addition to exploring the elements that make up a film, students also think carefully about the decisions, techniques, and strategies that inform film production. Topics of study include narrative, mise-en-scene, cinematography, editing, film sound, and, later in the course, broader categories of classification such as genre and mode.","7","ALS-A;CRE","","Björn Nordfjörd","","A","100","25","Intro to Film Studies","","101","","False","False","","4","","O","20244","Introduction to Film Studies","Research","2024"
"0000165533","1.0","0000035232","FMS","Hollywood and other popular cinemas around the world divide their film narratives into different genres like melodrama, horror, musicals, science fiction, film noir, and gangster cinema. Some of these genres stem from literature and theater, and most have subsequently influenced television, video games, and other media production. In this course students analyze the history and characteristics of one of these genres in detail or compare and contrast influential examples of genre production. May be repeated if topics are different. Offered alternate years in the fall semester beginning fall semester 2021-22.","0","ALS-A;CRE","","Linda Mokdad","","S","200","25","Topics: Global Horror Cinema","","215","{'day': 'Fr', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Mo', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'}","False","False","","4","","O","20244","Topics: Genre","Topic","2024"
"0000165580","1.0","0000000977","PHIL","This course clarifies central concepts and distinctions developed in the literature of moral philosophy and applications of those concepts and distinctions to concrete moral problems that arise in the practice of medicine. Issues may include euthanasia, abortion, medical paternalism, allocation of scarce medical resources, culturally sensitive medical care, pandemics, and conflicts of loyalty in managed care. Readings are drawn from both philosophical and medical discussions. Offered annually. Also counts toward neuroscience and public health studies concentrations.","5","EIN;ERC","","Jason Marsh","","A","200","25","Biomedical Ethics","","250","","False","False","","4","","O","20244","","Research","2024"
"0000165694","1.0","0000020054","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","2","ALS-A;CRE","","Anda Tanaka","","S","100","20","Foundation 2-D Media","","102","{'day': 'Fr', 'end': '11:30', 'location': 'CAD 216', 'start': '08:30'};{'day': 'Mo', 'end': '11:30', 'location': 'CAD 216', 'start': '08:30'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 216', 'start': '08:30'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 216', 'start': '08:30'};{'day': 'We', 'end': '11:30', 'location': 'CAD 216', 'start': '08:30'}","False","False","","4","","O","20244","Foundation Two-Dimensional Media","Research","2024"
"0000165696","1.0","0000000192","CHEM","This study of chemical stoichiometry, equilibrium, acid-base chemistry, coordination chemistry, and atomic and molecular structure supplies the fundamental background on which all later chemistry courses depend. It includes applications of equilibrium principles to acid-base chemistry. Students attend three classes and one three-hour laboratory per week. Students planning to continue in chemistry should consider concurrent registration in MATH 119 or MATH 120. The course cannot be taken in conjunction with or after credit in CHEM 122. Offered annually during Fall semester. Also counts toward biology major and biomolecular science concentration. Prerequisite: placement via online placement survey.","0","SED;NTS","0000000192","Patrick N. Riley","","S","100","24","Struct Chem & Equilib","","125","{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","placement via online placement survey.","","4","","O","20244","Structural Chemistry and Equilibrium","Research","2024"
"0000165697","0.0","0000000193","CHEM","","0","","0000000192","Patrick N. Riley","","S","100","24","Struct Chem & Equilib Lab","","125","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","False","","4","","O","20244","","Lab","2024"
"0000165698","1.0","0000000196","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. This course focuses on structure, nomenclature, and reactions of aliphatic and alicyclic compounds, including aspects of stereochemistry and spectroscopic identification of organic compounds. A full treatment of introductory organic chemistry requires subsequent enrollment in CHEM 248. Offered annually during Fall semester. Also counts toward biomolecular science concentration. Prerequisite: CHEM 126 or permission of instructor.","12","","","Peter J. Gittins","","S","200","24","Organic Chemistry I","Scheduled Class Days: June 2 - June 20. In addition to the Monday - Thursday;meetings, this course will also meet on Friday, June 20, 9:00am-12:00pm.;The final exam will be on June 27.","247","","False","CHEM 126 or permission of instructor.","","4","","O","20244","","Research","2024"
"0000165699","0.25","0000000199","CHEM","This laboratory course introduces students to the synthesis and characterization of organic, organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one three-hour laboratory each week. P/N only. Offered annually during Fall semester. Also counts toward biomolecular science concentration. Prerequisite: previous or concurrent registration in CHEM 247.","11","","","Peter J. Gittins","","S","200","24","Synthesis Lab I","Asynchronous work (approximately 9 hours): June 2 - July 8.;In-person days: July 9 - July 12. Meeting times: 9am-12pm and 1pm-5pm.;Online, synchronous meeting time: Saturday, July 8, 1pm-5pm.","253","","True","previous or concurrent registration in CHEM 247.","","4","","O","20244","Synthesis Laboratory I","Lab","2024"
"0000165700","1.0","0000000479","FREN","Through study, discussion, and analysis of a wide variety of texts, students explore specific social and cultural topics relevant to French culture yesterday and today (e.g., stereotypes, the family, education, immigration) and develop and expand their ability to listen, speak, read, and write in French while also learning specific listening and reading strategies. Explicit focus on cross-cultural comparison/contrast and analysis. Offered each semester. Prerequisite: FREN 112 or placement.","5","GHS","","Maria Vendetti","","S","200","24","Intermed French I","","231","","False","FREN 112 or placement.","","4","","O","20244","Intermediate French I","Research","2024"
"0000165701","1.0","0000000939","NURS","This course explores the sources, chemical composition, and metabolic behavior of nutrients. Nutritional requirements for a balanced diet are examined as well as the consequences of excesses and deficiencies. Students use nutrition tools and guidelines to make sound food choices, learn how to read food labels, and consider factors affecting food consumption. Class activities increase students' awareness of a healthy diet, help students evaluate nutrition behaviors, and facilitate a nutritionally sound lifestyle. Offered annually. Does not count toward major, but is a prerequisite for the nursing major. Counts toward public health studies concentration.","9","IST;NTS","","Susan Huehn","","A","100","30","Nutrition and Wellness","","110","","False","False","","4","","O","20244","","Research","2024"
"0000165703","1.0","0000001165","PSYCH","How do biological factors influence fundamental aspects of psychology and behavior? In this course, students learn about relationships between the brain and behavior and use neuroanatomical, physiological, and biochemical levels of analysis to understand basic behavioral processes and systems, including sensation, movement, emotion, sleep and arousal, hunger, motivation, learning, and psychopathology. Offered each semester. Also counts toward biology major and neuroscience concentration. Prerequisite: PSYCH 125 or BIO 123, BIO 227 or CH/BI 227.","1","IST","","Shelly D. Dickinson","","A","200","25","Biopsychology","","238","","False","PSYCH 125 or BIO 123, BIO 227 or CH/BI 227.","","4","","O","20244","","Research","2024"
"0000165704","1.0","0000001403","SDS","A first course in statistical methods, this course addresses study design and its implications as well as exploratory and inferential techniques for analyzing and modeling data. Topics include exploratory graphics, descriptive techniques, randomization tests, statistical designs, hypothesis testing, confidence intervals, and simple/multiple regression. Offered each semester. Enrollment limited for seniors. STAT 110, SDS 172, and ECON 260 all provide an introduction to statistics and students should not take more than one; they all can serve as a prerequisite for further courses. Also counts toward environmental studies major (natural science and social science emphases), kinesiology major, and business and management studies, mathematical biology, and public health studies concentrations.","3","AQR;QCR","","Joe Roith","","S","100","25","Statistics 1","","172","","False","False","","4","","O","20244","","Research","2024"
