"clbid","credits","crsid","department","description","enrolled","gereqs","groupid","grouptype","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000165468","1.0","0000001074","PHYS","This two-semester in-depth course addresses topics in classical and modern physics using algebra, geometry, and some calculus. The course is well-suited for students of biology or chemistry or for those desiring a thorough introduction beyond the high-school level.;Physics 125 explores the character of electric and magnetic forces and fields, then takes up the extended description of matter (vibrations, waves - sound and light). Finally, both particle and wave descriptions are shown to be necessary for discussing quantum mechanics and its application to atomic physics. Students attend lectures and one 2.5-hour laboratory per week. Offered annually in the spring semester. Does not count toward physics major. Prerequisites: PHYS 124 and either MATH 119 or MATH 120 or equivalent.","13","","0000001074","","Shoaib Munir","A","100","16","Principles Physics II","","125","","False","Prerequisites: PHYS 124 and either MATH 119 or MATH 120 or equivalent.","","5","O","20245","Principles of Physics II","Research","2024"
"0000165469","0.0","0000001075","PHYS","","13","","0000001074","","Shoaib Munir","A","100","16","Principles Physics II Lab","","125","","False","False","","5","O","20245","","Lab","2024"
"0000165581","1.0","0000027679","PHIL","This course analyzes issues concerning race and social justice from the perspective of normative ethical frameworks and various theories of value. Students investigate, interpret, and critique both intellectual foundations and reasons for endorsement of the various approaches to study in grace and social justice. Students pay critical attention to how the black intellectual tradition understands the meanings and moral implications of such ideas. Offered annually. Also counts toward race and ethnic studies major and concentration.","5","ERC;PAR","","","Nicole Yokum","A","200","25","Race and Social Justice","","255","","False","False","","5","O","20245","","Research","2024"
"0000165709","1.0","0000000197","CHEM","This course is a continuation of CHEM 247 topics. Chemistry 248 delves into the chemistry of functional groups, especially those that play a role in the reactivity of biomolecules such as carbohydrates, lipids, proteins ,and nucleic acids. Together, CHEM 247 and CHEM 248 provide a full treatment of introductory organic chemistry. Offered annually during Spring semester. Also counts toward environmental studies major (natural science emphasis) and biomolecular science concentration. Prerequisite: CHEM 247 or permission of instructor.","13","","","","Peter J. Gittins","S","200","24","Organic Chemistry II","Scheduled class days: July 21 - August 7;Final exam: August 15","248","","False","CHEM 247 or permission of instructor.","","5","O","20245","","Research","2024"
"0000165710","0.25","0000000200","CHEM","This course is a continuation of CHEM 253. Students gain more experience with techniques used in CHEM 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one three-hour laboratory each week. P/N only. Offered annually during Spring semester. Also counts toward environmental studies major (natural science emphasis) and biomolecular science concentration. Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","6","","","","Peter J. Gittins","S","200","24","Synthesis Lab II","Asynchronous work (approximately 9 hours): July 14 - July 28;In-person days: July 14 - July 16. Meeting times: 9am-12pm and 1pm-5pm;Online, synchronous meeting time: Saturday, July 19, 1pm-5pm","254","","True","Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","","5","O","20245","Synthesis Laboratory II","Lab","2024"
"0000165711","1.0","0000025615","ENGL","This course explores British literature of three eras, from Wordsworth to Woolf. Students begin with the romantic revolution of the late 18th century, traverse the wide 19th-century span of Queen Victoria's reign, and cross into the modernist era following the cataclysm of World War I. Within each era, students examine a literary manifesto, a revolutionary event, an epic poem, a novel, and the aesthetics of the period. The course emphasizes conversations across eras and striking moments of ""making it new."" Offered periodically. Prerequisite: WRIT 120 or equivalent.","8","WAC","","","Sean F. Ward","A","200","18","Romantic/Victorian/Modern","","228","","False","WRIT 120 or equivalent.","","5","O","20245","Romantic/Victorian/Modern British Literature","Research","2024"
"0000165713","1.0","0000001168","PSYCH","This course helps students better understand human development from the moment of conception and across the life span. The course focuses on biological and environmental factors that shape human development. Major changes in physical, cognitive, personality and social development are discussed. Offered each semester. Also counts toward kinesiology, nursing, social work, and gender and sexuality studies majors and educational studies, family studies, and gender and sexuality studies concentrations. Prerequisite: PSYCH 125.","14","SCS","","","Dana Gross","A","200","15","Developmental Psych","","241","","False","PSYCH 125.","","5","O","20245","Developmental Psychology","Research","2024"
"0000165854","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one three-hour laboratory per week. Offered annually during spring semester. Also counts toward biomolecular science concentration. Prerequisite: CHEM 125, or CHEM 122, and concurrent or previous enrollment in MATH 119 or MATH 120, or permission of instructor.","2","","0000000194","","Patrick N. Riley","S","100","24","Chemical Reactions","","126","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","CHEM 125, or CHEM 122, and concurrent or previous enrollment in MATH 119 or MATH 120, or permission of instructor.","","5","O","20245","Energies and Rates of Chemical Reactions","Research","2024"
"0000165855","0.0","0000000195","CHEM","","2","","0000000194","","Patrick N. Riley","S","100","24","Chemical Reactions Lab","","126","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","False","","5","O","20245","","Lab","2024"
"0000165936","1.0","0000001232","REL","This course examines the ethical teachings of Jesus as found in the canonical Gospels (with special focus on the Sermon on the Mount), explores how these teachings have been understood at some major moments in Western history, and brings them to bear on the task of contemporary ethical reflection. Issues examined include, for example, non-violence, social and economic justice, sexuality, and ethnic conflict. Offered periodically. Also counts toward ancient studies major.","11","ERC","","","James Hanson","A","200","24","The Ethics of Jesus","","276","","False","False","","5","O","20245","","Research","2024"
